"Participante","Resposta_C","Resposta_N","Item","Cond","Lista","Grupo"
"PB1","altamente aceitavel","5","2","Top","B","PB"
"PB1","neutra","3","4","ChinSemIntro","B","PB"
"PB1","neutra","3","16","ChinSemIntro","B","PB"
"PB1","neutra","3","13","ChinSemIntro","B","PB"
"PB1","altamente aceitavel","5","20","Top","B","PB"
"PB1","altamente aceitavel","5","14","Top","B","PB"
"PB1","neutra","3","7","ChinSemIntro","B","PB"
"PB1","inaceitavel","2","19","ChinSemIntro","B","PB"
"PB1","altamente aceitavel","5","15","ChinComIntro","B","PB"
"PB1","altamente aceitavel","5","24","ChinComIntro","B","PB"
"PB1","aceitavel","4","1","ChinSemIntro","B","PB"
"PB1","altamente aceitavel","5","11","Top","B","PB"
"PB1","altamente aceitavel","5","18","ChinComIntro","B","PB"
"PB1","aceitavel","4","8","Top","B","PB"
"PB1","inaceitavel","2","10","ChinSemIntro","B","PB"
"PB1","aceitavel","4","9","ChinComIntro","B","PB"
"PB1","altamente aceitavel","5","12","ChinComIntro","B","PB"
"PB1","neutra","3","5","Top","B","PB"
"PB1","aceitavel","4","6","ChinComIntro","B","PB"
"PB1","neutra","3","23","Top","B","PB"
"PB1","inaceitavel","2","22","ChinSemIntro","B","PB"
"PB1","altamente aceitavel","5","17","Top","B","PB"
"PB1","altamente aceitavel","5","3","ChinComIntro","B","PB"
"PB1","altamente aceitavel","5","21","ChinComIntro","B","PB"
"PB2","altamente aceitavel","5","14","ChinComIntro","C","PB"
"PB2","altamente aceitavel","5","3","ChinSemIntro","C","PB"
"PB2","aceitavel","4","11","ChinComIntro","C","PB"
"PB2","neutra","3","7","Top","C","PB"
"PB2","altamente aceitavel","5","22","Top","C","PB"
"PB2","altamente aceitavel","5","10","Top","C","PB"
"PB2","altamente aceitavel","5","6","ChinSemIntro","C","PB"
"PB2","altamente aceitavel","5","24","ChinSemIntro","C","PB"
"PB2","neutra","3","19","Top","C","PB"
"PB2","aceitavel","4","23","ChinComIntro","C","PB"
"PB2","aceitavel","4","1","Top","C","PB"
"PB2","neutra","3","9","ChinSemIntro","C","PB"
"PB2","neutra","3","5","ChinComIntro","C","PB"
"PB2","neutra","3","13","Top","C","PB"
"PB2","aceitavel","4","21","ChinSemIntro","C","PB"
"PB2","altamente aceitavel","5","16","Top","C","PB"
"PB2","altamente aceitavel","5","20","ChinComIntro","C","PB"
"PB2","altamente aceitavel","5","15","ChinSemIntro","C","PB"
"PB2","aceitavel","4","8","ChinComIntro","C","PB"
"PB2","altamente aceitavel","5","12","ChinSemIntro","C","PB"
"PB2","neutra","3","18","ChinSemIntro","C","PB"
"PB2","neutra","3","17","ChinComIntro","C","PB"
"PB2","altamente aceitavel","5","4","Top","C","PB"
"PB3","altamente aceitavel","5","2","ChinComIntro","C","PB"
"PB3","altamente aceitavel","5","5","ChinSemIntro","A","PB"
"PB3","altamente aceitavel","5","19","ChinComIntro","A","PB"
