"Participant","Item","Nome_tipo","Estrutura","Condition","Area","TFD","logTFD"
"S1P1",110,"Nproprio","Gapping","GPN","N2",710,6.56526497003536
"S1P1",420,"Ncomum","Gapping","GN","N2",1840,7.51752085060303
"S1P1",510,"Nproprio","Gapping","GPN","N2",420,6.04025471127741
"S1P1",820,"Ncomum","Gapping","GN","N2",2930,7.98275770201111
"S1P1",910,"Nproprio","Gapping","GPN","N2",460,6.13122648948314
"S1P1",1220,"Ncomum","Gapping","GN","N2",1750,7.46737106691756
"S1P1",1310,"Nproprio","Gapping","GPN","N2",1650,7.40853056689463
"S1P1",1620,"Ncomum","Gapping","GN","N2",2120,7.65917136766606
"S1P1",1040,"Ncomum","Nongapping","NGN","N2",640,6.46146817635372
"S1P1",1440,"Ncomum","Nongapping","NGN","N2",510,6.23441072571837
"S1P1",240,"Ncomum","Nongapping","NGN","N2",610,6.41345895716736
"S1P1",640,"Ncomum","Nongapping","NGN","N2",300,5.7037824746562
"S1P1",1130,"Nproprio","Nongapping","NGPN","N2",660,6.49223983502047
"S1P1",1530,"Nproprio","Nongapping","NGPN","N2",2980,7.99967857949945
"S1P1",330,"Nproprio","Nongapping","NGPN","N2",830,6.72142570079064
"S1P1",730,"Nproprio","Nongapping","NGPN","N2",950,6.85646198459459
"S1P2",110,"Nproprio","Gapping","GPN","N2",1100,7.00306545878646
"S1P2",420,"Ncomum","Gapping","GN","N2",920,6.82437367004309
"S1P2",510,"Nproprio","Gapping","GPN","N2",1790,7.4899708988348
"S1P2",820,"Ncomum","Gapping","GN","N2",2050,7.62559507213245
"S1P2",910,"Nproprio","Gapping","GPN","N2",640,6.46146817635372
"S1P2",1220,"Ncomum","Gapping","GN","N2",1020,6.92755790627832
"S1P2",1310,"Nproprio","Gapping","GPN","N2",2230,7.70975686445416
"S1P2",1620,"Ncomum","Gapping","GN","N2",2730,7.91205688817901
"S1P2",1040,"Ncomum","Nongapping","NGN","N2",1390,7.23705902612474
"S1P2",1440,"Ncomum","Nongapping","NGN","N2",1570,7.35883089834235
"S1P2",240,"Ncomum","Nongapping","NGN","N2",730,6.59304453414244
"S1P2",640,"Ncomum","Nongapping","NGN","N2",550,6.30991827822652
"S1P2",1130,"Nproprio","Nongapping","NGPN","N2",1580,7.36518012602101
"S1P2",1530,"Nproprio","Nongapping","NGPN","N2",1710,7.44424864949671
"S1P2",330,"Nproprio","Nongapping","NGPN","N2",700,6.5510803350434
"S1P2",730,"Nproprio","Nongapping","NGPN","N2",1390,7.23705902612474
"S1P3",110,"Nproprio","Gapping","GPN","N2",270,5.59842195899838
"S1P3",420,"Ncomum","Gapping","GN","N2",680,6.52209279817015
"S1P3",510,"Nproprio","Gapping","GPN","N2",400,5.99146454710798
"S1P3",820,"Ncomum","Gapping","GN","N2",1030,6.93731408122368
"S1P3",910,"Nproprio","Gapping","GPN","N2",660,6.49223983502047
"S1P3",1220,"Ncomum","Gapping","GN","N2",740,6.60665018619822
"S1P3",1310,"Nproprio","Gapping","GPN","N2",490,6.19440539110467
"S1P3",1620,"Ncomum","Gapping","GN","N2",200,5.29831736654804
"S1P3",1040,"Ncomum","Nongapping","NGN","N2",480,6.17378610390194
"S1P3",1440,"Ncomum","Nongapping","NGN","N2",260,5.56068163101553
"S1P3",240,"Ncomum","Nongapping","NGN","N2",440,6.08677472691231
"S1P3",640,"Ncomum","Nongapping","NGN","N2",440,6.08677472691231
"S1P3",1130,"Nproprio","Nongapping","NGPN","N2",320,5.76832099579377
"S1P3",1530,"Nproprio","Nongapping","NGPN","N2",660,6.49223983502047
"S1P3",330,"Nproprio","Nongapping","NGPN","N2",570,6.3456363608286
"S1P3",730,"Nproprio","Nongapping","NGPN","N2",420,6.04025471127741
"S1P4",110,"Nproprio","Gapping","GPN","N2",650,6.47697236288968
"S1P4",420,"Ncomum","Gapping","GN","N2",1060,6.96602418710611
"S1P4",510,"Nproprio","Gapping","GPN","N2",1210,7.09837563859079
"S1P4",820,"Ncomum","Gapping","GN","N2",1080,6.98471632011827
"S1P4",910,"Nproprio","Gapping","GPN","N2",860,6.75693238924755
"S1P4",1220,"Ncomum","Gapping","GN","N2",830,6.72142570079064
"S1P4",1310,"Nproprio","Gapping","GPN","N2",880,6.77992190747225
"S1P4",1620,"Ncomum","Gapping","GN","N2",830,6.72142570079064
"S1P4",1040,"Ncomum","Nongapping","NGN","N2",770,6.64639051484773
"S1P4",1440,"Ncomum","Nongapping","NGN","N2",1020,6.92755790627832
"S1P4",240,"Ncomum","Nongapping","NGN","N2",600,6.39692965521615
"S1P4",640,"Ncomum","Nongapping","NGN","N2",900,6.80239476332431
"S1P4",1130,"Nproprio","Nongapping","NGPN","N2",700,6.5510803350434
"S1P4",1530,"Nproprio","Nongapping","NGPN","N2",1420,7.25841215059531
"S1P4",330,"Nproprio","Nongapping","NGPN","N2",790,6.67203294546107
"S1P4",730,"Nproprio","Nongapping","NGPN","N2",1020,6.92755790627832
"S1P6",110,"Nproprio","Gapping","GPN","N2",270,5.59842195899838
"S1P6",420,"Ncomum","Gapping","GN","N2",950,6.85646198459459
"S1P6",510,"Nproprio","Gapping","GPN","N2",1000,6.90775527898214
"S1P6",820,"Ncomum","Gapping","GN","N2",310,5.73657229747919
"S1P6",910,"Nproprio","Gapping","GPN","N2",780,6.65929391968364
"S1P6",1220,"Ncomum","Gapping","GN","N2",540,6.29156913955832
"S1P6",1310,"Nproprio","Gapping","GPN","N2",250,5.52146091786225
"S1P6",1620,"Ncomum","Gapping","GN","N2",750,6.62007320653036
"S1P6",1040,"Ncomum","Nongapping","NGN","N2",210,5.34710753071747
"S1P6",1440,"Ncomum","Nongapping","NGN","N2",510,6.23441072571837
"S1P6",240,"Ncomum","Nongapping","NGN","N2",210,5.34710753071747
"S1P6",640,"Ncomum","Nongapping","NGN","N2",350,5.85793315448346
"S1P6",1130,"Nproprio","Nongapping","NGPN","N2",260,5.56068163101553
"S1P6",1530,"Nproprio","Nongapping","NGPN","N2",480,6.17378610390194
"S1P6",330,"Nproprio","Nongapping","NGPN","N2",770,6.64639051484773
"S1P6",730,"Nproprio","Nongapping","NGPN","N2",890,6.79122146272619
"S1P7",110,"Nproprio","Gapping","GPN","N2",2060,7.63046126178363
"S1P7",420,"Ncomum","Gapping","GN","N2",1370,7.22256601882217
"S1P7",510,"Nproprio","Gapping","GPN","N2",550,6.30991827822652
"S1P7",820,"Ncomum","Gapping","GN","N2",1030,6.93731408122368
"S1P7",910,"Nproprio","Gapping","GPN","N2",1630,7.39633529380081
"S1P7",1220,"Ncomum","Gapping","GN","N2",380,5.94017125272043
"S1P7",1310,"Nproprio","Gapping","GPN","N2",2300,7.74066440191724
"S1P7",1620,"Ncomum","Gapping","GN","N2",1150,7.0475172213573
"S1P7",1040,"Ncomum","Nongapping","NGN","N2",1070,6.97541392745595
"S1P7",1440,"Ncomum","Nongapping","NGN","N2",570,6.3456363608286
"S1P7",240,"Ncomum","Nongapping","NGN","N2",520,6.25382881157547
"S1P7",640,"Ncomum","Nongapping","NGN","N2",290,5.66988092298052
"S1P7",1130,"Nproprio","Nongapping","NGPN","N2",1440,7.27239839257005
"S1P7",1530,"Nproprio","Nongapping","NGPN","N2",1470,7.29301767977278
"S1P7",330,"Nproprio","Nongapping","NGPN","N2",1010,6.9177056098353
"S1P7",730,"Nproprio","Nongapping","NGPN","N2",1090,6.99393297522319
"S2P1",120,"Ncomum","Gapping","GN","N2",680,6.52209279817015
"S2P1",210,"Nproprio","Gapping","GPN","N2",850,6.74523634948436
"S2P1",520,"Ncomum","Gapping","GN","N2",250,5.52146091786225
"S2P1",610,"Nproprio","Gapping","GPN","N2",1150,7.0475172213573
"S2P1",920,"Ncomum","Gapping","GN","N2",900,6.80239476332431
"S2P1",1010,"Nproprio","Gapping","GPN","N2",1140,7.03878354138854
"S2P1",1320,"Ncomum","Gapping","GN","N2",2100,7.64969262371151
"S2P1",1410,"Nproprio","Gapping","GPN","N2",1090,6.99393297522319
"S2P1",1140,"Ncomum","Nongapping","NGN","N2",590,6.38012253689976
"S2P1",1540,"Ncomum","Nongapping","NGN","N2",700,6.5510803350434
"S2P1",340,"Ncomum","Nongapping","NGN","N2",970,6.87729607149743
"S2P1",740,"Ncomum","Nongapping","NGN","N2",1500,7.3132203870903
"S2P1",1230,"Nproprio","Nongapping","NGPN","N2",1320,7.18538701558042
"S2P1",1630,"Nproprio","Nongapping","NGPN","N2",490,6.19440539110467
"S2P1",430,"Nproprio","Nongapping","NGPN","N2",1030,6.93731408122368
"S2P1",830,"Nproprio","Nongapping","NGPN","N2",1000,6.90775527898214
"S2P3",120,"Ncomum","Gapping","GN","N2",1250,7.13089883029635
"S2P3",210,"Nproprio","Gapping","GPN","N2",2120,7.65917136766606
"S2P3",520,"Ncomum","Gapping","GN","N2",630,6.44571981938558
"S2P3",610,"Nproprio","Gapping","GPN","N2",3300,8.10167774745457
"S2P3",920,"Ncomum","Gapping","GN","N2",540,6.29156913955832
"S2P3",1010,"Nproprio","Gapping","GPN","N2",770,6.64639051484773
"S2P3",1320,"Ncomum","Gapping","GN","N2",2580,7.85554467791566
"S2P3",1410,"Nproprio","Gapping","GPN","N2",620,6.42971947803914
"S2P3",1140,"Ncomum","Nongapping","NGN","N2",680,6.52209279817015
"S2P3",1540,"Ncomum","Nongapping","NGN","N2",2030,7.61579107203583
"S2P3",340,"Ncomum","Nongapping","NGN","N2",2640,7.87853419614036
"S2P3",740,"Ncomum","Nongapping","NGN","N2",2080,7.64012317269536
"S2P3",1230,"Nproprio","Nongapping","NGPN","N2",570,6.3456363608286
"S2P3",1630,"Nproprio","Nongapping","NGPN","N2",750,6.62007320653036
"S2P3",430,"Nproprio","Nongapping","NGPN","N2",950,6.85646198459459
"S2P3",830,"Nproprio","Nongapping","NGPN","N2",770,6.64639051484773
"S2P4",120,"Ncomum","Gapping","GN","N2",1160,7.05617528410041
"S2P4",210,"Nproprio","Gapping","GPN","N2",930,6.8351845861473
"S2P4",520,"Ncomum","Gapping","GN","N2",1060,6.96602418710611
"S2P4",610,"Nproprio","Gapping","GPN","N2",880,6.77992190747225
"S2P4",920,"Ncomum","Gapping","GN","N2",600,6.39692965521615
"S2P4",1010,"Nproprio","Gapping","GPN","N2",1150,7.0475172213573
"S2P4",1320,"Ncomum","Gapping","GN","N2",1110,7.01211529430638
"S2P4",1410,"Nproprio","Gapping","GPN","N2",540,6.29156913955832
"S2P4",1140,"Ncomum","Nongapping","NGN","N2",530,6.27287700654617
"S2P4",1540,"Ncomum","Nongapping","NGN","N2",980,6.88755257166462
"S2P4",340,"Ncomum","Nongapping","NGN","N2",880,6.77992190747225
"S2P4",740,"Ncomum","Nongapping","NGN","N2",1660,7.41457288135059
"S2P4",1230,"Nproprio","Nongapping","NGPN","N2",650,6.47697236288968
"S2P4",1630,"Nproprio","Nongapping","NGPN","N2",400,5.99146454710798
"S2P4",430,"Nproprio","Nongapping","NGPN","N2",580,6.36302810354046
"S2P4",830,"Nproprio","Nongapping","NGPN","N2",240,5.48063892334199
"S2P5",120,"Ncomum","Gapping","GN","N2",1040,6.94697599213542
"S2P5",210,"Nproprio","Gapping","GPN","N2",1370,7.22256601882217
"S2P5",520,"Ncomum","Gapping","GN","N2",900,6.80239476332431
"S2P5",610,"Nproprio","Gapping","GPN","N2",1980,7.59085212368858
"S2P5",920,"Ncomum","Gapping","GN","N2",1800,7.49554194388426
"S2P5",1010,"Nproprio","Gapping","GPN","N2",1640,7.40245152081824
"S2P5",1320,"Ncomum","Gapping","GN","N2",540,6.29156913955832
"S2P5",1410,"Nproprio","Gapping","GPN","N2",1000,6.90775527898214
"S2P5",1140,"Ncomum","Nongapping","NGN","N2",950,6.85646198459459
"S2P5",1540,"Ncomum","Nongapping","NGN","N2",700,6.5510803350434
"S2P5",340,"Ncomum","Nongapping","NGN","N2",980,6.88755257166462
"S2P5",740,"Ncomum","Nongapping","NGN","N2",430,6.06378520868761
"S2P5",1230,"Nproprio","Nongapping","NGPN","N2",430,6.06378520868761
"S2P5",1630,"Nproprio","Nongapping","NGPN","N2",410,6.01615715969835
"S2P5",430,"Nproprio","Nongapping","NGPN","N2",1530,7.33302301438648
"S2P5",830,"Nproprio","Nongapping","NGPN","N2",400,5.99146454710798
"S2P6",120,"Ncomum","Gapping","GN","N2",2850,7.9550742732627
"S2P6",210,"Nproprio","Gapping","GPN","N2",1690,7.43248380791712
"S2P6",520,"Ncomum","Gapping","GN","N2",1700,7.43838353004431
"S2P6",610,"Nproprio","Gapping","GPN","N2",1790,7.4899708988348
"S2P6",920,"Ncomum","Gapping","GN","N2",700,6.5510803350434
"S2P6",1010,"Nproprio","Gapping","GPN","N2",1090,6.99393297522319
"S2P6",1320,"Ncomum","Gapping","GN","N2",1300,7.17011954344963
"S2P6",1410,"Nproprio","Gapping","GPN","N2",1070,6.97541392745595
"S2P6",1140,"Ncomum","Nongapping","NGN","N2",1270,7.14677217945264
"S2P6",1540,"Ncomum","Nongapping","NGN","N2",1810,7.50108212425987
"S2P6",340,"Ncomum","Nongapping","NGN","N2",1300,7.17011954344963
"S2P6",740,"Ncomum","Nongapping","NGN","N2",3090,8.03592636989179
"S2P6",1230,"Nproprio","Nongapping","NGPN","N2",1250,7.13089883029635
"S2P6",1630,"Nproprio","Nongapping","NGPN","N2",1170,7.0647590277918
"S2P6",430,"Nproprio","Nongapping","NGPN","N2",820,6.7093043402583
"S2P6",830,"Nproprio","Nongapping","NGPN","N2",1200,7.09007683577609
