"Teste","Participante","L1","Cond","Item","Resposta","TR"
"T1","P01_FR","Frances","R","risco","  C","2510"
"T1","P01_FR","Frances","R","caramba","  C","2720"
"T1","P01_FR","Frances","R","carro","  C","2670"
"T1","P01_FR","Frances","R","barato","  C","1380"
"T1","P01_FR","Frances","R","rato","  C","1140"
"T1","P01_FR","Frances","R","careta","  C","3700"
"T1","P02_FR","Frances","R","risco","  C","1560"
"T1","P02_FR","Frances","R","caramba","  C","2050"
"T1","P02_FR","Frances","R","carro","  C","2880"
"T1","P02_FR","Frances","R","barato","  C","4490"
"T1","P02_FR","Frances","R","rato","  C","2950"
"T1","P02_FR","Frances","R","careta","  C","4230"
"T1","P03_FR","Frances","R","risco","  Err","5080"
"T1","P03_FR","Frances","R","caramba","  Err","5400"
"T1","P03_FR","Frances","R","carro","  C","5090"
"T1","P03_FR","Frances","R","barato","  C","3100"
"T1","P03_FR","Frances","R","rato","  C","3960"
"T1","P03_FR","Frances","R","careta","  Err","2050"
"T1","P04_FR","Frances","R","risco","  Err","46450"
"T1","P04_FR","Frances","R","caramba","  C","3930"
"T1","P04_FR","Frances","R","carro","  C","2130"
"T1","P04_FR","Frances","R","barato","  C","2180"
"T1","P04_FR","Frances","R","rato","  C","2090"
"T1","P04_FR","Frances","R","careta","  C","4540"
"T2","P01_FR","Frances","R","barato","  C","1250"
"T2","P01_FR","Frances","R","carranca","  C","2210"
"T2","P01_FR","Frances","R","careta","  C","4560"
"T2","P01_FR","Frances","R","carro","  Err","5470"
"T2","P01_FR","Frances","R","narrar","  C","2860"
"T2","P01_FR","Frances","R","prato","  C","1950"
"T2","P01_FR","Frances","R","proclamar","  C","2500"
"T2","P01_FR","Frances","R","triste","  C","2560"
"T2","P01_FR","Frances","R","escovar","  C","2040"
"T2","P01_FR","Frances","R","carranca","  C","2720"
"T2","P02_FR","Frances","R","barato","  C","5700"
"T2","P02_FR","Frances","R","carranca","  C","2630"
"T2","P02_FR","Frances","R","careta","  C","2610"
"T2","P02_FR","Frances","R","carro","  C","11610"
"T2","P02_FR","Frances","R","narrar","  C","5650"
"T2","P02_FR","Frances","R","prato","  C","2420"
"T2","P02_FR","Frances","R","proclamar","  C","2030"
"T2","P02_FR","Frances","R","triste","  C","2830"
"T2","P02_FR","Frances","R","escovar","  C","3950"
"T2","P02_FR","Frances","R","carranca","  C","1660"
"T2","P03_FR","Frances","R","barato","  C","3910"
"T2","P03_FR","Frances","R","carranca","  C","3970"
"T2","P03_FR","Frances","R","careta","  Err","4140"
"T2","P03_FR","Frances","R","carro","  C","3610"
"T2","P03_FR","Frances","R","narrar","  C","2020"
"T2","P03_FR","Frances","R","prato","  C","2930"
"T2","P03_FR","Frances","R","proclamar","  C","3560"
"T2","P03_FR","Frances","R","triste","  C","2870"
"T2","P03_FR","Frances","R","escovar","  C","3790"
"T2","P03_FR","Frances","R","carranca","  C","3070"
"T2","P04_FR","Frances","R","barato","  C","3520"
"T2","P04_FR","Frances","R","carranca","  Err","22140"
"T2","P04_FR","Frances","R","careta","  C","2430"
"T2","P04_FR","Frances","R","carro","  C","2070"
"T2","P04_FR","Frances","R","narrar","  C","2700"
"T2","P04_FR","Frances","R","prato","  C","2060"
"T2","P04_FR","Frances","R","proclamar","  C","3060"
"T2","P04_FR","Frances","R","triste","  C","1620"
"T2","P04_FR","Frances","R","escovar","  C","2530"
"T2","P04_FR","Frances","R","carranca","  C","1640"
