"Subject","Group","Item","Escolha_attach","TR_Final","Cond","Adv_so","Verbo"
"S1","A","1622","Low","5971","V2","no","V2"
"S1","A","1412","Low","14876","SOV2","yes","V2"
"S1","A","1711","Low","22211","SOV1","yes","V1"
"S1","A","1012","Low","5128","SOV2","yes","V2"
"S1","A","911","Low","10049","SOV1","yes","V1"
"S1","A","1121","Low","7175","V1","no","V1"
"S1","A","1521","High","8542","V1","no","V1"
"S1","A","321","High","5432","V1","no","V1"
"S1","A","1222","High","9167","V2","no","V2"
"S1","A","511","Low","6296","SOV1","yes","V1"
"S1","A","212","High","6033","SOV2","yes","V2"
"S1","A","1812","High","4804","SOV2","yes","V2"
"S1","A","422","High","14321","V2","no","V2"
"S1","A","721","High","7515","V1","no","V1"
"S1","A","2022","Low","6647","V2","no","V2"
"S1","A","1921","High","14810","V1","no","V1"
"S1","A","1311","Low","6145","SOV1","yes","V1"
"S1","A","612","High","6950","SOV2","yes","V2"
"S1","A","822","Low","5294","V2","no","V2"
"S1","A","111","High","4991","SOV1","yes","V1"
"S2","A","2022","Low","9100","V2","no","V2"
"S2","A","1711","High","7984","SOV1","yes","V1"
"S2","A","111","Low","8518","SOV1","yes","V1"
"S2","A","822","Low","8518","V2","no","V2"
"S2","A","1311","Low","9498","SOV1","yes","V1"
"S2","A","1012","Low","5415","SOV2","yes","V2"
"S2","A","212","Low","7986","SOV2","yes","V2"
"S2","A","1622","Low","8318","V2","no","V2"
"S2","A","1921","Low","7404","V1","no","V1"
"S2","A","422","Low","8504","V2","no","V2"
"S2","A","911","Low","6413","SOV1","yes","V1"
"S2","A","721","Low","7584","V1","no","V1"
"S2","A","1222","Low","4801","V2","no","V2"
"S2","A","321","Low","4004","V1","no","V1"
"S2","A","1521","High","12814","V1","no","V1"
"S2","A","1812","Low","5434","SOV2","yes","V2"
"S2","A","511","Low","6926","SOV1","yes","V1"
"S2","A","1121","Low","5427","V1","no","V1"
"S2","A","612","High","7180","SOV2","yes","V2"
"S2","A","1412","Low","6390","SOV2","yes","V2"
"S3","A","1412","Low","8141","SOV2","yes","V2"
"S3","A","1222","Low","13785","V2","no","V2"
"S3","A","1121","Low","13008","V1","no","V1"
"S3","A","612","High","12224","SOV2","yes","V2"
"S3","A","1311","High","5381","SOV1","yes","V1"
"S3","A","422","Low","6159","V2","no","V2"
"S3","A","2022","Low","6761","V2","no","V2"
"S3","A","511","High","3960","SOV1","yes","V1"
"S3","A","1812","High","6479","SOV2","yes","V2"
"S3","A","822","High","5350","V2","no","V2"
"S3","A","1921","High","5049","V1","no","V1"
"S3","A","1711","High","7590","SOV1","yes","V1"
"S3","A","911","High","4811","SOV1","yes","V1"
"S3","A","212","High","4095","SOV2","yes","V2"
"S3","A","721","High","6670","V1","no","V1"
"S3","A","1521","High","4650","V1","no","V1"
"S3","A","1012","Low","4270","SOV2","yes","V2"
"S3","A","111","High","3010","SOV1","yes","V1"
"S3","A","321","Low","2239","V1","no","V1"
"S3","A","1622","Low","4040","V2","no","V2"
"S4","A","1222","Low","12587","V2","no","V2"
"S4","A","1521","High","9353","V1","no","V1"
"S4","A","612","Low","5683","SOV2","yes","V2"
"S4","A","1311","High","7435","SOV1","yes","V1"
"S4","A","1012","Low","5627","SOV2","yes","V2"
"S4","A","1121","High","5413","V1","no","V1"
"S4","A","1711","High","4436","SOV1","yes","V1"
"S4","A","1622","Low","5101","V2","no","V2"
"S4","A","721","High","6283","V1","no","V1"
"S4","A","822","Low","5380","V2","no","V2"
"S4","A","2022","Low","4798","V2","no","V2"
"S4","A","111","Low","4988","SOV1","yes","V1"
"S4","A","1812","Low","3064","SOV2","yes","V2"
"S4","A","1412","Low","2317","SOV2","yes","V2"
"S4","A","1921","High","2849","V1","no","V1"
"S4","A","212","Low","8130","SOV2","yes","V2"
"S4","A","911","High","6011","SOV1","yes","V1"
"S4","A","422","Low","5453","V2","no","V2"
"S4","A","511","High","3237","SOV1","yes","V1"
"S4","A","321","Low","6217","V1","no","V1"
"S5","B","621","Low","6256","V1","no","V1"
"S5","B","411","High","23359","SOV1","yes","V1"
"S5","B","912","High","10022","SOV2","yes","V2"
"S5","B","512","High","5672","SOV2","yes","V2"
"S5","B","722","Low","10200","V2","no","V2"
"S5","B","1312","Low","9088","SOV2","yes","V2"
"S5","B","322","High","6992","V2","no","V2"
"S5","B","2011","High","5271","SOV1","yes","V1"
"S5","B","1712","High","6128","SOV2","yes","V2"
"S5","B","1421","Low","3456","V1","no","V1"
"S5","B","1021","Low","2720","V1","no","V1"
"S5","B","112","Low","8792","SOV2","yes","V2"
"S5","B","221","Low","4249","V1","no","V1"
"S5","B","1922","Low","3384","V2","no","V2"
"S5","B","1611","Low","2279","SOV1","yes","V1"
"S5","B","811","High","4219","SOV1","yes","V1"
"S5","B","1821","Low","2768","V1","no","V1"
"S5","B","1122","Low","5976","V2","no","V2"
"S5","B","1211","Low","7535","SOV1","yes","V1"
"S5","B","1522","High","3712","V2","no","V2"
"S6","B","1211","Low","6972","SOV1","yes","V1"
"S6","B","411","Low","15420","SOV1","yes","V1"
"S6","B","1312","Low","15002","SOV2","yes","V2"
"S6","B","512","Low","9913","SOV2","yes","V2"
"S6","B","1421","Low","5202","V1","no","V1"
"S6","B","1821","High","18229","V1","no","V1"
"S6","B","2011","Low","10885","SOV1","yes","V1"
"S6","B","322","High","21200","V2","no","V2"
"S6","B","1611","Low","4112","SOV1","yes","V1"
"S6","B","722","Low","5179","V2","no","V2"
"S6","B","1122","Low","14205","V2","no","V2"
"S6","B","912","High","10950","SOV2","yes","V2"
"S6","B","1522","Low","12697","V2","no","V2"
"S6","B","1021","Low","8810","V1","no","V1"
"S6","B","1712","Low","11297","SOV2","yes","V2"
"S6","B","1922","Low","8920","V2","no","V2"
"S6","B","112","High","9305","SOV2","yes","V2"
"S6","B","221","High","7448","V1","no","V1"
"S6","B","811","High","7564","SOV1","yes","V1"
"S6","B","621","High","20229","V1","no","V1"
"S7","B","322","Low","17171","V2","no","V2"
"S7","B","1021","Low","17194","V1","no","V1"
"S7","B","1922","Low","5279","V2","no","V2"
"S7","B","1522","Low","17368","V2","no","V2"
"S7","B","912","Low","6836","SOV2","yes","V2"
"S7","B","1821","Low","6010","V1","no","V1"
"S7","B","1611","Low","6150","SOV1","yes","V1"
"S7","B","811","High","17094","SOV1","yes","V1"
"S7","B","722","Low","12477","V2","no","V2"
"S7","B","621","High","6613","V1","no","V1"
"S7","B","411","Low","9880","SOV1","yes","V1"
"S7","B","1421","Low","4301","V1","no","V1"
"S7","B","1211","Low","4139","SOV1","yes","V1"
"S7","B","512","High","4950","SOV2","yes","V2"
"S7","B","112","High","15140","SOV2","yes","V2"
"S7","B","2011","High","6353","SOV1","yes","V1"
"S7","B","1122","Low","25483","V2","no","V2"
"S7","B","221","Low","6825","V1","no","V1"
"S7","B","1712","Low","16718","SOV2","yes","V2"
"S7","B","1312","High","8389","SOV2","yes","V2"
"S8","B","1211","High","7618","SOV1","yes","V1"
"S8","B","112","High","5569","SOV2","yes","V2"
"S8","B","1821","Low","14614","V1","no","V1"
"S8","B","1922","High","5213","V2","no","V2"
"S8","B","221","High","6566","V1","no","V1"
"S8","B","1421","Low","3479","V1","no","V1"
"S8","B","1522","High","6116","V2","no","V2"
"S8","B","2011","Low","6501","SOV1","yes","V1"
"S8","B","411","Low","5213","SOV1","yes","V1"
"S8","B","1122","Low","4843","V2","no","V2"
"S8","B","621","Low","4373","V1","no","V1"
"S8","B","512","Low","5575","SOV2","yes","V2"
"S8","B","722","High","5117","V2","no","V2"
"S8","B","912","High","5849","SOV2","yes","V2"
"S8","B","811","High","5073","SOV1","yes","V1"
"S8","B","1712","Low","6065","SOV2","yes","V2"
"S8","B","1611","High","8740","SOV1","yes","V1"
"S8","B","322","High","6862","V2","no","V2"
"S8","B","1021","Low","3153","V1","no","V1"
"S8","B","1312","High","4218","SOV2","yes","V2"
"S9","B","221","Low","15446","V1","no","V1"
"S9","B","722","High","14759","V2","no","V2"
"S9","B","1421","Low","5489","V1","no","V1"
"S9","B","1712","Low","5490","SOV2","yes","V2"
"S9","B","621","High","6875","V1","no","V1"
"S9","B","912","High","10737","SOV2","yes","V2"
"S9","B","512","High","2196","SOV2","yes","V2"
"S9","B","2011","High","4616","SOV1","yes","V1"
"S9","B","1522","High","7044","V2","no","V2"
"S9","B","1922","Low","7790","V2","no","V2"
"S9","B","1211","High","3246","SOV1","yes","V1"
"S9","B","1122","Low","9224","V2","no","V2"
"S9","B","322","Low","8233","V2","no","V2"
"S9","B","1611","High","2476","SOV1","yes","V1"
"S9","B","1021","Low","2073","V1","no","V1"
"S9","B","1312","High","12840","SOV2","yes","V2"
"S9","B","1821","High","12750","V1","no","V1"
"S9","B","811","High","2409","SOV1","yes","V1"
"S9","B","411","High","2824","SOV1","yes","V1"
"S9","B","112","High","2983","SOV2","yes","V2"
"S10","B","621","Low","10051","V1","no","V1"
"S10","B","322","Low","27327","V2","no","V2"
"S10","B","1211","Low","33629","SOV1","yes","V1"
"S10","B","221","Low","7070","V1","no","V1"
"S10","B","1122","Low","34738","V2","no","V2"
"S10","B","2011","High","8286","SOV1","yes","V1"
"S10","B","411","High","7713","SOV1","yes","V1"
"S10","B","912","High","5810","SOV2","yes","V2"
"S10","B","112","High","5054","SOV2","yes","V2"
"S10","B","1611","Low","6676","SOV1","yes","V1"
"S10","B","1821","High","7530","V1","no","V1"
"S10","B","512","High","5775","SOV2","yes","V2"
"S10","B","1021","Low","3833","V1","no","V1"
"S10","B","1712","High","4600","SOV2","yes","V2"
"S10","B","811","High","4489","SOV1","yes","V1"
"S10","B","1421","Low","4083","V1","no","V1"
"S10","B","1312","High","6733","SOV2","yes","V2"
"S10","B","1522","Low","7682","V2","no","V2"
"S10","B","722","Low","5883","V2","no","V2"
"S10","B","1922","Low","10878","V2","no","V2"
"S11","C","311","High","6512","SOV1","yes","V1"
"S11","C","1111","High","6391","SOV1","yes","V1"
"S11","C","812","High","3679","SOV2","yes","V2"
"S11","C","412","High","7256","SOV2","yes","V2"
"S11","C","1911","High","7888","SOV1","yes","V1"
"S11","C","1721","Low","3624","V1","no","V1"
"S11","C","521","Low","2760","V1","no","V1"
"S11","C","121","Low","6992","V1","no","V1"
"S11","C","1612","High","3160","SOV2","yes","V2"
"S11","C","622","Low","18471","V2","no","V2"
"S11","C","921","Low","5216","V1","no","V1"
"S11","C","1422","Low","3512","V2","no","V2"
"S11","C","2012","High","10744","SOV2","yes","V2"
"S11","C","1822","Low","14951","V2","no","V2"
"S11","C","1212","High","8993","SOV2","yes","V2"
"S11","C","222","Low","3671","V2","no","V2"
"S11","C","1321","Low","19464","V1","no","V1"
"S11","C","1511","High","11120","SOV1","yes","V1"
"S11","C","1022","Low","7159","V2","no","V2"
"S11","C","711","High","3920","SOV1","yes","V1"
"S12","C","711","High","5828","SOV1","yes","V1"
"S12","C","1911","High","5354","SOV1","yes","V1"
"S12","C","1212","High","18801","SOV2","yes","V2"
"S12","C","1511","High","4940","SOV1","yes","V1"
"S12","C","121","Low","22129","V1","no","V1"
"S12","C","1422","Low","12405","V2","no","V2"
"S12","C","1321","Low","8305","V1","no","V1"
"S12","C","222","High","56235","V2","no","V2"
"S12","C","2012","High","9074","SOV2","yes","V2"
"S12","C","1111","High","10100","SOV1","yes","V1"
"S12","C","812","High","5897","SOV2","yes","V2"
"S12","C","1721","Low","5839","V1","no","V1"
"S12","C","1022","Low","5364","V2","no","V2"
"S12","C","412","Low","33293","SOV2","yes","V2"
"S12","C","311","High","4969","SOV1","yes","V1"
"S12","C","921","High","8184","V1","no","V1"
"S12","C","521","High","7307","V1","no","V1"
"S12","C","1612","Low","5858","SOV2","yes","V2"
"S12","C","1822","Low","6114","V2","no","V2"
"S12","C","622","High","6399","V2","no","V2"
