"Participante","Item","Cond","Contexto","Adv_so","Resposta","RT"
"S1V3","31","CV1SOV1","V1","V1","baixa","27116"
"S1V3","32","CV1SOV2","V1","V2","baixa","27654"
"S1V3","46","CV2SOV2","V2","V2","baixa","11690"
"S1V3","36","CV1SOV2","V1","V2","baixa","15221"
"S1V3","42","CV2SOV2","V2","V2","baixa","3551"
"S1V3","38","CV2SOV2","V2","V2","baixa","3116"
"S1V3","35","CV1SOV1","V1","V1","alta","5950"
"S1V3","40","CV1SOV2","V1","V2","baixa","6009"
"S1V3","43","CV1SOV1","V1","V1","alta","5888"
"S1V3","37","CV2SOV1","V2","V1","alta","5430"
"S1V3","34","CV2SOV2","V2","V2","baixa","4207"
"S1V3","33","CV2SOV1","V2","V1","baixa","18354"
"S1V3","29","CV2SOV1","V2","V1","alta","4585"
"S1V3","45","CV2SOV1","V2","V1","alta","11138"
"S1V3","47","CV1SOV1","V1","V1","alta","2073"
"S1V3","30","CV2SOV2","V2","V2","alta","22381"
"S1V3","48","CV1SOV2","V1","V2","alta","4319"
"S1V3","44","CV1SOV2","V1","V2","baixa","5946"
"S1V4","30","CV1SOV1","V1","V1","baixa","11488"
"S1V4","44","CV2SOV1","V2","V1","baixa","4275"
"S1V4","29","CV2SOV2","V2","V2","alta","5795"
"S1V4","48","CV2SOV1","V2","V1","baixa","5026"
"S1V4","36","CV2SOV1","V2","V1","baixa","9405"
"S1V4","34","CV1SOV1","V1","V1","alta","4597"
"S1V4","42","CV1SOV1","V1","V1","baixa","2467"
"S1V4","45","CV2SOV2","V2","V2","baixa","3794"
"S1V4","37","CV2SOV2","V2","V2","baixa","3191"
"S1V4","46","CV1SOV1","V1","V1","baixa","2729"
"S1V4","33","CV2SOV2","V2","V2","baixa","3698"
"S1V4","38","CV1SOV1","V1","V1","baixa","2577"
"S1V4","35","CV1SOV2","V1","V2","alta","4177"
"S1V4","47","CV1SOV2","V1","V2","alta","4989"
"S1V4","31","CV1SOV2","V1","V2","baixa","6229"
"S1V4","41","CV2SOV2","V2","V2","baixa","4578"
"S1V4","40","CV2SOV1","V2","V1","baixa","3850"
"S1V4","43","CV1SOV2","V1","V2","baixa","3980"
"S2V1","38","CV1SOV2","V1","V2","baixa","4325"
"S2V1","41","CV1SOV1","V1","V1","alta","5307"
"S2V1","45","CV1SOV1","V1","V1","alta","4323"
"S2V1","36","CV2SOV2","V2","V2","baixa","1926"
"S2V1","30","CV1SOV2","V1","V2","baixa","3530"
"S2V1","47","CV2SOV1","V2","V1","baixa","3574"
"S2V1","33","CV1SOV1","V1","V1","baixa","2942"
"S2V1","43","CV2SOV1","V2","V1","alta","2136"
"S2V1","44","CV2SOV2","V2","V2","baixa","2677"
"S2V1","46","CV1SOV2","V1","V2","alta","3241"
"S2V1","37","CV1SOV1","V1","V1","alta","3580"
"S2V1","40","CV2SOV2","V2","V2","baixa","2169"
"S2V1","39","CV2SOV1","V2","V1","baixa","6417"
"S2V1","29","CV1SOV1","V1","V1","alta","3638"
"S2V1","31","CV2SOV1","V2","V1","alta","3794"
"S2V1","35","CV2SOV1","V2","V1","alta","4021"
"S2V1","42","CV1SOV2","V1","V2","baixa","3801"
"S2V1","34","CV1SOV2","V1","V2","alta","5388"
"S2V1","48","CV2SOV2","V2","V2","baixa","1442"
"S2V2","43","CV2SOV2","V2","V2","alta","7091"
"S2V2","46","CV2SOV1","V2","V1","alta","3607"
