"Participant","Item","Nome_tipo","Estrutura","Condition","Area","TFD"
"S1P1","1220","Ncomum","Gapping","GN","N1","1320"
"S1P1","110","Nproprio","Gapping","GPN","N2","710"
"S1P1","1220","Ncomum","Gapping","GN","PP","1290"
"S1P1","1620","Ncomum","Gapping","GN","N1","2480"
"S1P1","420","Ncomum","Gapping","GN","N2","1840"
"S1P1","1620","Ncomum","Gapping","GN","PP","2380"
"S1P1","420","Ncomum","Gapping","GN","N1","1640"
"S1P1","510","Nproprio","Gapping","GPN","N2","420"
"S1P1","420","Ncomum","Gapping","GN","PP","1340"
"S1P1","820","Ncomum","Gapping","GN","N1","2610"
"S1P1","820","Ncomum","Gapping","GN","N2","2930"
"S1P1","820","Ncomum","Gapping","GN","PP","3550"
"S1P1","110","Nproprio","Gapping","GPN","N1","820"
"S1P1","910","Nproprio","Gapping","GPN","N2","460"
"S1P1","110","Nproprio","Gapping","GPN","PP","760"
"S1P1","1310","Nproprio","Gapping","GPN","N1","1370"
"S1P1","1220","Ncomum","Gapping","GN","N2","1750"
"S1P1","1310","Nproprio","Gapping","GPN","PP","810"
"S1P1","510","Nproprio","Gapping","GPN","N1","670"
"S1P1","1310","Nproprio","Gapping","GPN","N2","1650"
"S1P1","510","Nproprio","Gapping","GPN","PP","430"
"S1P1","910","Nproprio","Gapping","GPN","N1","1000"
"S1P1","1620","Ncomum","Gapping","GN","N2","2120"
"S1P1","910","Nproprio","Gapping","GPN","PP","490"
"S1P1","1040","Ncomum","Nongapping","NGN","N1","960"
"S1P1","1040","Ncomum","Nongapping","NGN","N2","640"
"S1P1","1040","Ncomum","Nongapping","NGN","PP","900"
"S1P1","1440","Ncomum","Nongapping","NGN","N1","1560"
"S1P1","1440","Ncomum","Nongapping","NGN","N2","510"
"S1P1","1440","Ncomum","Nongapping","NGN","PP","820"
"S1P1","240","Ncomum","Nongapping","NGN","N1","1110"
"S1P1","240","Ncomum","Nongapping","NGN","N2","610"
"S1P1","240","Ncomum","Nongapping","NGN","PP","1090"
"S1P1","640","Ncomum","Nongapping","NGN","N1","640"
"S1P1","640","Ncomum","Nongapping","NGN","N2","300"
"S1P1","640","Ncomum","Nongapping","NGN","PP","470"
"S1P1","1130","Nproprio","Nongapping","NGPN","N1","1300"
"S1P1","1130","Nproprio","Nongapping","NGPN","N2","660"
