"Candidatos","notas"
"C1","514.96622179635"
"C2","467.46081241232"
"C3","403.51583154639"
"C4","414.99183569336"
"C5","475.19742909295"
"C6","481.12597030646"
"C7","469.44669409364"
"C8","643.73384591541"
"C9","265.03071128624"
"C10","426.24069353857"
"C11","376.7852138271"
"C12","357.14319781342"
"C13","140.51270116121"
"C14","529.51563591429"
"C15","566.31333680067"
"C16","349.98388289474"
"C17","472.91266471526"
"C18","585.62577467179"
"C19","455.73947206954"
"C20","598.54969438398"
"C21","565.37814887357"
"C22","414.16840192775"
"C23","530.02336133155"
"C24","472.24748302775"
"C25","499.28812475351"
"C26","473.08148966928"
"C27","341.55968821957"
"C28","423.45604813541"
"C29","506.77599463321"
"C30","346.40092851711"
"C31","646.60739442566"
"C32","518.65979346709"
"C33","398.79396242846"
"C34","313.36717145401"
"C35","699.90469344426"
"C36","570.60478755098"
"C37","606.4068191126"
"C38","553.68477549287"
"C39","472.05319222208"
"C40","517.10569439543"
"C41","351.85948834347"
"C42","601.78476703819"
"C43","314.52950568288"
"C44","552.03108675138"
"C45","461.22281562653"
"C46","457.13872966822"
"C47","504.99520400714"
"C48","499.18182756024"
"C49","625.46027836739"
"C50","437.82299487881"
"C51","492.3550466419"
"C52","497.81838131545"
"C53","304.7960933845"
"C54","593.28190107131"
"C55","484.90571660019"
"C56","415.70806277101"
"C57","268.78146743635"
"C58","422.65319168742"
"C59","436.58062511618"
"C60","450.2640865912"
"C61","523.69396032824"
"C62","370.48525771475"
"C63","392.04801285174"
"C64","605.73697626474"
"C65","426.80764979828"
"C66","354.4026629033"
"C67","395.19759300398"
"C68","422.93104231881"
"C69","540.03075890883"
"C70","561.1890162772"
"C71","472.22747414431"
"C72","412.00460034539"
"C73","542.31313586293"
"C74","604.95526556857"
"C75","355.38764566532"
"C76","397.63879047037"
"C77","316.15932018845"
"C78","378.70583926357"
"C79","646.5255399025"
"C80","531.31575330277"
"C81","296.70159053872"
"C82","346.33089742507"
"C83","460.20395418687"
"C84","366.60603543802"
"C85","287.43975124322"
"C86","438.21555552946"
"C87","413.00277078059"
"C88","480.92963313771"
"C89","500.15032573079"
"C90","656.47995941341"
"C91","474.50030140404"
"C92","423.13601968723"
"C93","491.49204985675"
"C94","500.77969606442"
"C95","566.04662747937"
"C96","627.55438991822"
"C97","465.73845682084"
"C98","302.31499183807"
"C99","659.48129192926"
"C100","591.77805158193"
