"Participante","Tempo_leitura2","Resposta ","Item ","Grupo","Cond","Resposta_tipo"
"S2","2845","c","H1","1","Homonimia","ambos"
"S2","2408","c","H2","1","Homonimia","ambos"
"S2","2408","c","H3","1","Homonimia","ambos"
"S2","2221","c","H4","1","Homonimia","ambos"
"S2","2324","b","H5","1","Homonimia","Sentido 2"
"S2","2033","b","H6","1","Homonimia","Sentido 2"
"S2","2996","a","P1","1","Polissemia","Sentido 1"
"S2","2201","a","P2","1","Polissemia","Sentido 1"
"S2","6168","b","P3","1","Polissemia","Sentido 2"
"S2","3730","c","P4","1","Polissemia","ambos"
"S2","3471","a","P5","1","Polissemia","Sentido 1"
"S2","2192","c","P6","1","Polissemia","ambos"
"S7","1134","a","H1","1","Homonimia","Sentido 1"
"S7","943","a","H2","1","Homonimia","Sentido 1"
"S7","1380","d","H3","1","Homonimia","nenhum"
"S7","1732","c","H4","1","Homonimia","ambos"
"S7","1825","c","H5","1","Homonimia","ambos"
"S7","1148","b","H6","1","Homonimia","Sentido 2"
"S7","950","a","P1","1","Polissemia","Sentido 1"
"S7","1110","a","P2","1","Polissemia","Sentido 1"
"S7","2883","b","P3","1","Polissemia","Sentido 2"
"S7","1230","b","P4","1","Polissemia","Sentido 2"
"S7","702","a","P5","1","Polissemia","Sentido 1"
"S7","1080","b","P6","1","Polissemia","Sentido 2"
"S5","1288","b","H1","1","Homonimia","Sentido 2"
"S5","1605","a","H2","1","Homonimia","Sentido 1"
"S5","1301","a","H3","1","Homonimia","Sentido 1"
"S5","1832","b","H4","1","Homonimia","Sentido 2"
"S5","891","b","H5","1","Homonimia","Sentido 2"
"S5","1510","d","H6","1","Homonimia","nenhum"
"S5","1199","b","P1","1","Polissemia","Sentido 2"
"S5","3375","d","P2","1","Polissemia","nenhum"
"S5","1713","b","P3","1","Polissemia","Sentido 2"
"S5","5715","b","P4","1","Polissemia","Sentido 2"
"S5","1146","a","P5","1","Polissemia","Sentido 1"
"S5","4683","b","P6","1","Polissemia","Sentido 2"
"S30","1282","a","H1","1","Homonimia","Sentido 1"
"S30","1975","a","H2","1","Homonimia","Sentido 1"
"S30","1704","d","H3","1","Homonimia","nenhum"
"S30","2102","a","H4","1","Homonimia","Sentido 1"
"S30","1393","b","H5","1","Homonimia","Sentido 2"
"S30","1548","d","H6","1","Homonimia","nenhum"
"S30","3430","d","P1","1","Polissemia","nenhum"
"S30","2458","a","P2","1","Polissemia","Sentido 1"
"S30","1648","b","P3","1","Polissemia","Sentido 2"
"S30","2526","b","P4","1","Polissemia","Sentido 2"
"S30","1445","a","P5","1","Polissemia","Sentido 1"
"S30","2825","b","P6","1","Polissemia","Sentido 2"
"S10","988","a","H1","1","Homonimia","Sentido 1"
"S10","1799","c","H2","1","Homonimia","ambos"
"S10","2198","a","H3","1","Homonimia","Sentido 1"
"S10","2536","b","H4","1","Homonimia","Sentido 2"
"S10","1167","b","H5","1","Homonimia","Sentido 2"
"S10","2160","d","H6","1","Homonimia","nenhum"
"S10","1103","a","P1","1","Polissemia","Sentido 1"
"S10","1760","a","P2","1","Polissemia","Sentido 1"
"S10","1100","a","P3","1","Polissemia","Sentido 1"
"S10","2504","b","P4","1","Polissemia","Sentido 2"
"S10","1687","a","P5","1","Polissemia","Sentido 1"
"S10","1670","b","P6","1","Polissemia","Sentido 2"
"S16","1447","c","H1","1","Homonimia","ambos"
"S16","887","c","H2","1","Homonimia","ambos"
"S16","1417","a","H3","1","Homonimia","Sentido 1"
"S16","816","b","H4","1","Homonimia","Sentido 2"
"S16","1203","b","H5","1","Homonimia","Sentido 2"
"S16","614","b","H6","1","Homonimia","Sentido 2"
"S16","2122","a","P1","1","Polissemia","Sentido 1"
"S16","1183","a","P2","1","Polissemia","Sentido 1"
"S16","704","a","P3","1","Polissemia","Sentido 1"
"S16","986","b","P4","1","Polissemia","Sentido 2"
"S16","618","a","P5","1","Polissemia","Sentido 1"
"S16","1079","c","P6","1","Polissemia","ambos"
"S4","1349","a","H1","1","Homonimia","Sentido 1"
"S4","2367","a","H2","1","Homonimia","Sentido 1"
"S4","978","b","H3","1","Homonimia","Sentido 2"
"S4","2896","a","H4","1","Homonimia","Sentido 1"
"S4","1018","b","H5","1","Homonimia","Sentido 2"
"S4","2200","b","H6","1","Homonimia","Sentido 2"
"S4","1367","a","P1","1","Polissemia","Sentido 1"
"S4","1049","a","P2","1","Polissemia","Sentido 1"
"S4","1568","b","P3","1","Polissemia","Sentido 2"
"S4","4420","b","P4","1","Polissemia","Sentido 2"
"S4","1403","a","P5","1","Polissemia","Sentido 1"
"S4","1431","a","P6","1","Polissemia","Sentido 1"
"S37","988","a","H1","1","Homonimia","Sentido 1"
"S37","1799","c","H2","1","Homonimia","ambos"
"S37","2198","a","H3","1","Homonimia","Sentido 1"
"S37","2536","b","H4","1","Homonimia","Sentido 2"
"S37","1167","b","H5","1","Homonimia","Sentido 2"
"S37","2160","d","H6","1","Homonimia","nenhum"
"S37","1103","a","P1","1","Polissemia","Sentido 1"
"S37","1760","a","P2","1","Polissemia","Sentido 1"
"S37","1100","a","P3","1","Polissemia","Sentido 1"
"S37","2504","b","P4","1","Polissemia","Sentido 2"
"S37","1687","a","P5","1","Polissemia","Sentido 1"
"S37","1670","b","P6","1","Polissemia","Sentido 2"
"S33","1792","a","H1","1","Homonimia","Sentido 1"
"S33","879","b","H2","1","Homonimia","Sentido 2"
"S33","1071","b","H3","1","Homonimia","Sentido 2"
"S33","1008","d","H4","1","Homonimia","nenhum"
"S33","688","b","H5","1","Homonimia","Sentido 2"
"S33","1458","b","H6","1","Homonimia","Sentido 2"
"S33","639","a","P1","1","Polissemia","Sentido 1"
"S33","2408","a","P2","1","Polissemia","Sentido 1"
"S33","833","b","P3","1","Polissemia","Sentido 2"
"S33","416","b","P4","1","Polissemia","Sentido 2"
"S33","1256","a","P5","1","Polissemia","Sentido 1"
"S33","632","b","P6","1","Polissemia","Sentido 2"
"S25","1232","a","H1","1","Homonimia","Sentido 1"
"S25","568","b","H2","1","Homonimia","Sentido 2"
"S25","1744","a","H3","1","Homonimia","Sentido 1"
"S25","880","a","H4","1","Homonimia","Sentido 1"
"S25","752","b","H5","1","Homonimia","Sentido 2"
"S25","2016","d","H6","1","Homonimia","nenhum"
"S25","1664","a","P1","1","Polissemia","Sentido 1"
"S25","1552","d","P2","1","Polissemia","nenhum"
"S25","2193","b","P3","1","Polissemia","Sentido 2"
"S25","1848","b","P4","1","Polissemia","Sentido 2"
"S25","1424","a","P5","1","Polissemia","Sentido 1"
"S25","728","b","P6","1","Polissemia","Sentido 2"
"S29","948","b","H1","1","Homonimia","Sentido 2"
"S29","915","a","H2","1","Homonimia","Sentido 1"
"S29","1622","b","H3","1","Homonimia","Sentido 2"
"S29","830","a","H4","1","Homonimia","Sentido 1"
"S29","803","a","H5","1","Homonimia","Sentido 1"
"S29","805","b","H6","1","Homonimia","Sentido 2"
"S29","741","a","P1","1","Polissemia","Sentido 1"
"S29","1115","b","P2","1","Polissemia","Sentido 2"
"S29","840","b","P3","1","Polissemia","Sentido 2"
"S29","635","a","P4","1","Polissemia","Sentido 1"
"S29","3344","a","P5","1","Polissemia","Sentido 1"
"S29","754","b","P6","1","Polissemia","Sentido 2"
"S38","1587","a","H1","1","Homonimia","Sentido 1"
"S38","2749","a","H2","1","Homonimia","Sentido 1"
"S38","2513","a","H3","1","Homonimia","Sentido 1"
"S38","2861","b","H4","1","Homonimia","Sentido 2"
"S38","2586","b","H5","1","Homonimia","Sentido 2"
"S38","1825","b","H6","1","Homonimia","Sentido 2"
"S38","2210","a","P1","1","Polissemia","Sentido 1"
"S38","2744","a","P2","1","Polissemia","Sentido 1"
"S38","2215","a","P3","1","Polissemia","Sentido 1"
"S38","2391","b","P4","1","Polissemia","Sentido 2"
"S38","2679","a","P5","1","Polissemia","Sentido 1"
"S38","2363","a","P6","1","Polissemia","Sentido 1"
"S28","1004","a","H1","1","Homonimia","Sentido 1"
"S28","1595","b","H2","1","Homonimia","Sentido 2"
"S28","2265","c","H3","1","Homonimia","ambos"
"S28","2058","b","H4","1","Homonimia","Sentido 2"
"S28","1767","c","H5","1","Homonimia","ambos"
"S28","1649","b","H6","1","Homonimia","Sentido 2"
"S28","2120","a","P1","1","Polissemia","Sentido 1"
"S28","1764","a","P2","1","Polissemia","Sentido 1"
"S28","1720","b","P3","1","Polissemia","Sentido 2"
"S28","1641","b","P4","1","Polissemia","Sentido 2"
"S28","1686","a","P5","1","Polissemia","Sentido 1"
"S28","1338","b","P6","1","Polissemia","Sentido 2"
"S40","1413","a","H1","1","Homonimia","Sentido 1"
"S40","1339","c","H2","1","Homonimia","ambos"
"S40","1154","a","H3","1","Homonimia","Sentido 1"
"S40","1394","b","H4","1","Homonimia","Sentido 2"
"S40","1352","b","H5","1","Homonimia","Sentido 2"
"S40","1267","d","H6","1","Homonimia","nenhum"
"S40","2564","a","P1","1","Polissemia","Sentido 1"
"S40","1966","a","P2","1","Polissemia","Sentido 1"
"S40","1850","a","P3","1","Polissemia","Sentido 1"
"S40","2276","b","P4","1","Polissemia","Sentido 2"
"S40","1747","a","P5","1","Polissemia","Sentido 1"
"S40","1227","b","P6","1","Polissemia","Sentido 2"
"S20","901","a","H1","1","Homonimia","Sentido 1"
"S20","1588","b","H2","1","Homonimia","Sentido 2"
"S20","1950","a","H3","1","Homonimia","Sentido 1"
"S20","1854","a","H4","1","Homonimia","Sentido 1"
"S20","1374","b","H5","1","Homonimia","Sentido 2"
"S20","1092","b","H6","1","Homonimia","Sentido 2"
"S20","2165","a","P1","1","Polissemia","Sentido 1"
"S20","1477","a","P2","1","Polissemia","Sentido 1"
"S20","1529","b","P3","1","Polissemia","Sentido 2"
"S20","1882","b","P4","1","Polissemia","Sentido 2"
"S20","2061","a","P5","1","Polissemia","Sentido 1"
"S20","1631","b","P6","1","Polissemia","Sentido 2"
"S17","1013","a","H1","1","Homonimia","Sentido 1"
"S17","1037","b","H2","1","Homonimia","Sentido 2"
"S17","2540","a","H3","1","Homonimia","Sentido 1"
"S17","2532","b","H4","1","Homonimia","Sentido 2"
"S17","1284","b","H5","1","Homonimia","Sentido 2"
"S17","1293","d","H6","1","Homonimia","nenhum"
"S17","1312","a","P1","1","Polissemia","Sentido 1"
"S17","1349","a","P2","1","Polissemia","Sentido 1"
"S17","2457","b","P3","1","Polissemia","Sentido 2"
"S17","1248","b","P4","1","Polissemia","Sentido 2"
"S17","1020","a","P5","1","Polissemia","Sentido 1"
"S17","979","b","P6","1","Polissemia","Sentido 2"
"S6","1788","c","H1","1","Homonimia","ambos"
"S6","1180","b","H2","1","Homonimia","Sentido 2"
"S6","2225","a","H3","1","Homonimia","Sentido 1"
"S6","2317","b","H4","1","Homonimia","Sentido 2"
"S6","1310","b","H5","1","Homonimia","Sentido 2"
"S6","2228","b","H6","1","Homonimia","Sentido 2"
"S6","2507","a","P1","1","Polissemia","Sentido 1"
"S6","2427","a","P2","1","Polissemia","Sentido 1"
"S6","1756","a","P3","1","Polissemia","Sentido 1"
"S6","2215","b","P4","1","Polissemia","Sentido 2"
"S6","2348","a","P5","1","Polissemia","Sentido 1"
"S6","2845","a","P6","1","Polissemia","Sentido 1"
"S21","2220","a","H1","1","Homonimia","Sentido 1"
"S21","2019","b","H2","1","Homonimia","Sentido 2"
"S21","2845","c","H3","1","Homonimia","ambos"
"S21","2560","b","H4","1","Homonimia","Sentido 2"
"S21","1508","b","H5","1","Homonimia","Sentido 2"
"S21","2482","d","H6","1","Homonimia","nenhum"
"S21","5627","c","P1","1","Polissemia","ambos"
"S21","5084","a","P2","1","Polissemia","Sentido 1"
"S21","2483","c","P3","1","Polissemia","ambos"
"S21","4058","b","P4","1","Polissemia","Sentido 2"
"S21","2383","c","P5","1","Polissemia","ambos"
"S21","3800","a","P6","1","Polissemia","Sentido 1"
"S26","2951","c","H1","1","Homonimia","ambos"
"S26","2435","c","H2","1","Homonimia","ambos"
"S26","2335","b","H3","1","Homonimia","Sentido 2"
"S26","2957","b","H4","1","Homonimia","Sentido 2"
"S26","1969","b","H5","1","Homonimia","Sentido 2"
"S26","1463","d","H6","1","Homonimia","nenhum"
"S26","1568","a","P1","1","Polissemia","Sentido 1"
"S26","2537","a","P2","1","Polissemia","Sentido 1"
"S26","3082","b","P3","1","Polissemia","Sentido 2"
"S26","2783","b","P4","1","Polissemia","Sentido 2"
"S26","2345","a","P5","1","Polissemia","Sentido 1"
"S26","1983","b","P6","1","Polissemia","Sentido 2"
"S1","2946","a","H1","1","Homonimia","Sentido 1"
"S1","1580","a","H2","1","Homonimia","Sentido 1"
"S1","3046","d","H3","1","Homonimia","nenhum"
"S1","1410","a","H4","1","Homonimia","Sentido 1"
"S1","2684","a","H5","1","Homonimia","Sentido 1"
"S1","1809","d","H6","1","Homonimia","nenhum"
"S1","8766","b","P1","1","Polissemia","Sentido 2"
"S1","2272","d","P2","1","Polissemia","nenhum"
"S1","1949","a","P3","1","Polissemia","Sentido 1"
"S1","2228","a","P4","1","Polissemia","Sentido 1"
"S1","1663","a","P5","1","Polissemia","Sentido 1"
"S1","2408","b","P6","1","Polissemia","Sentido 2"
"S8","725","a","H1","2","Homonimia","Sentido 1"
"S8","966","b","H2","2","Homonimia","Sentido 2"
"S8","1087","c","H3","2","Homonimia","ambos"
"S8","699","b","H4","2","Homonimia","Sentido 2"
"S8","1882","c","H5","2","Homonimia","ambos"
"S8","2628","b","H6","2","Homonimia","Sentido 2"
"S8","862","c","P1","2","Polissemia","ambos"
"S8","1397","a","P2","2","Polissemia","Sentido 1"
"S8","1960","b","P3","2","Polissemia","Sentido 2"
"S8","1189","c","P4","2","Polissemia","ambos"
"S8","1218","c","P5","2","Polissemia","ambos"
"S8","1250","b","P6","2","Polissemia","Sentido 2"
"S32","1484","b","H1","2","Homonimia","Sentido 2"
"S32","1039","b","H2","2","Homonimia","Sentido 2"
"S32","1081","b","H3","2","Homonimia","Sentido 2"
"S32","1219","a","H4","2","Homonimia","Sentido 1"
"S32","1826","b","H5","2","Homonimia","Sentido 2"
"S32","1526","d","H6","2","Homonimia","nenhum"
"S32","897","a","P1","2","Polissemia","Sentido 1"
"S32","730","d","P2","2","Polissemia","nenhum"
"S32","1257","b","P3","2","Polissemia","Sentido 2"
