"Teste","Participante","L1","Cond","Item","Resposta","TR"
"T1","P01_ESP","Espanhol","B_V","a_bica","  C","2860"
"T1","P01_ESP","Espanhol","B_V","bela","  Err","5180"
"T1","P01_ESP","Espanhol","B_V","bento","  C","4290"
"T1","P01_ESP","Espanhol","B_V","eu_boto","  Err","6820"
"T1","P01_ESP","Espanhol","B_V","bala","  C","15260"
"T1","P02_ESP","Espanhol","B_V","a_bica","  C","4340"
"T1","P02_ESP","Espanhol","B_V","bela","  Err","5590"
"T1","P02_ESP","Espanhol","B_V","bento","  Err","3290"
"T1","P02_ESP","Espanhol","B_V","eu_boto","  Err","4730"
"T1","P02_ESP","Espanhol","B_V","bala","  C","3760"
"T1","P05_ESP","Espanhol","B_V","a_bica","  C","2480"
"T1","P05_ESP","Espanhol","B_V","bela","  Err","2150"
"T1","P05_ESP","Espanhol","B_V","bento","  C","2030"
"T1","P05_ESP","Espanhol","B_V","eu_boto","  C","2060"
"T1","P05_ESP","Espanhol","B_V","bala","  C","2860"
"T1","P07_ESP","Espanhol","B_V","a_bica","  C","12540"
"T1","P07_ESP","Espanhol","B_V","bela","  C","1800"
"T1","P07_ESP","Espanhol","B_V","bento","  C","1840"
"T1","P07_ESP","Espanhol","B_V","eu_boto","  Err","1660"
"T1","P07_ESP","Espanhol","B_V","bala","  C","1890"
"T1","P09_ESP","Espanhol","B_V","a_bica","  C","8950"
"T1","P09_ESP","Espanhol","B_V","bela","  C","3230"
"T1","P09_ESP","Espanhol","B_V","bento","  C","3470"
"T1","P09_ESP","Espanhol","B_V","eu_boto","  Err","3750"
"T1","P09_ESP","Espanhol","B_V","bala","  C","2830"
"T1","P10_ESP","Espanhol","B_V","a_bica","  C","3620"
"T1","P10_ESP","Espanhol","B_V","bela","  C","2120"
"T1","P10_ESP","Espanhol","B_V","bento","  C","1640"
"T1","P10_ESP","Espanhol","B_V","eu_boto","  Err","2460"
"T1","P10_ESP","Espanhol","B_V","bala","  C","2110"
"T1","P12_ESP","Espanhol","B_V","a_bica","  C","4680"
"T1","P12_ESP","Espanhol","B_V","bela","  C","3060"
"T1","P12_ESP","Espanhol","B_V","bento","  C","2990"
"T1","P12_ESP","Espanhol","B_V","eu_boto","  C","3300"
"T1","P12_ESP","Espanhol","B_V","bala","  C","3310"
"T1","P13_ESP","Espanhol","B_V","a_bica","  C","2980"
"T1","P13_ESP","Espanhol","B_V","bela","  C","2380"
"T1","P13_ESP","Espanhol","B_V","bento","  C","2970"
"T1","P13_ESP","Espanhol","B_V","eu_boto","  Err","1600"
"T1","P13_ESP","Espanhol","B_V","bala","  C","1470"
"T2","P01_ESP","Espanhol","B_V","vem","  C","2040"
"T2","P01_ESP","Espanhol","B_V","bem","  C","4380"
"T2","P01_ESP","Espanhol","B_V","embale","  C","2290"
"T2","P02_ESP","Espanhol","B_V","vem","  C","4640"
"T2","P02_ESP","Espanhol","B_V","bem","  C","3270"
"T2","P02_ESP","Espanhol","B_V","embale","  C","3490"
"T2","P05_ESP","Espanhol","B_V","vem","  C","6580"
"T2","P05_ESP","Espanhol","B_V","bem","  C","1050"
"T2","P05_ESP","Espanhol","B_V","embale","  Err","1960"
"T2","P07_ESP","Espanhol","B_V","vem","  C","2130"
"T2","P07_ESP","Espanhol","B_V","bem","  C","1790"
"T2","P07_ESP","Espanhol","B_V","embale","  C","1510"
"T2","P09_ESP","Espanhol","B_V","vem","  C","2800"
"T2","P09_ESP","Espanhol","B_V","bem","  C","2050"
"T2","P09_ESP","Espanhol","B_V","embale","  C","1220"
"T2","P10_ESP","Espanhol","B_V","vem","  C","1460"
"T2","P10_ESP","Espanhol","B_V","bem","  C","850"
"T2","P10_ESP","Espanhol","B_V","embale","  C","2520"
"T2","P12_ESP","Espanhol","B_V","vem","  C","1360"
"T2","P12_ESP","Espanhol","B_V","bem","  C","2620"
"T2","P12_ESP","Espanhol","B_V","embale","  C","1230"
"T2","P13_ESP","Espanhol","B_V","vem","  C","3410"
"T2","P13_ESP","Espanhol","B_V","bem","  C","2990"
"T2","P13_ESP","Espanhol","B_V","embale","  C","2720"
