"Subject","Group","Item","Escolha_attach","TR_Final","Cond","Adv_so","Verbo","logTR"
"S1","A",1622,"Low",5971,"V2","no","V2",8.69466969654699
"S1","A",1412,"Low",14876,"SOV2","yes","V2",9.60750445504496
"S1","A",1012,"Low",5128,"SOV2","yes","V2",8.54247099860051
"S1","A",911,"Low",10049,"SOV1","yes","V1",9.21522840604896
"S1","A",1121,"Low",7175,"V1","no","V1",8.87835804062782
"S1","A",1521,"High",8542,"V1","no","V1",9.05275045140141
"S1","A",321,"High",5432,"V1","no","V1",8.60006266923853
"S1","A",1222,"High",9167,"V2","no","V2",9.12336535796178
"S1","A",511,"Low",6296,"SOV1","yes","V1",8.74766979009724
"S1","A",212,"High",6033,"SOV2","yes","V2",8.70499967844076
"S1","A",1812,"High",4804,"SOV2","yes","V2",8.47720418319987
"S1","A",422,"High",14321,"V2","no","V2",9.5694822704787
"S1","A",721,"High",7515,"V1","no","V1",8.92465630218707
"S1","A",2022,"Low",6647,"V2","no","V2",8.80192090404158
"S1","A",1921,"High",14810,"V1","no","V1",9.60305790726184
"S1","A",1311,"Low",6145,"SOV1","yes","V1",8.72339402200014
"S1","A",612,"High",6950,"SOV2","yes","V2",8.84649693855884
"S1","A",822,"Low",5294,"V2","no","V2",8.57432938278705
"S1","A",111,"High",4991,"SOV1","yes","V1",8.51539156946961
"S2","A",2022,"Low",9100,"V2","no","V2",9.11602969250494
"S2","A",1711,"High",7984,"SOV1","yes","V1",8.9851948179913
"S2","A",111,"Low",8518,"SOV1","yes","V1",9.04993685048316
"S2","A",822,"Low",8518,"V2","no","V2",9.04993685048316
"S2","A",1311,"Low",9498,"SOV1","yes","V1",9.15883652910907
"S2","A",1012,"Low",5415,"SOV2","yes","V2",8.59692815943509
"S2","A",212,"Low",7986,"SOV2","yes","V2",8.98544528762317
"S2","A",1622,"Low",8318,"V2","no","V2",9.02617712030286
"S2","A",1921,"Low",7404,"V1","no","V1",8.90977567369339
"S2","A",422,"Low",8504,"V2","no","V2",9.04829192002178
"S2","A",911,"Low",6413,"SOV1","yes","V1",8.76608245914886
"S2","A",721,"Low",7584,"V1","no","V1",8.93379604393486
"S2","A",1222,"Low",4801,"V2","no","V2",8.47657950853094
"S2","A",321,"Low",4004,"V1","no","V1",8.29504914043511
"S2","A",1521,"High",12814,"V1","no","V1",9.45829360219897
"S2","A",1812,"Low",5434,"SOV2","yes","V2",8.60043078998629
"S2","A",511,"Low",6926,"SOV1","yes","V1",8.84303772496237
"S2","A",1121,"Low",5427,"V1","no","V1",8.5991417740634
"S2","A",612,"High",7180,"SOV2","yes","V2",8.87905466204227
"S2","A",1412,"Low",6390,"SOV2","yes","V2",8.76248954737158
"S3","A",1412,"Low",8141,"SOV2","yes","V2",9.00466830157398
"S3","A",1222,"Low",13785,"V2","no","V2",9.5313363234579
"S3","A",1121,"Low",13008,"V1","no","V1",9.47331983178759
"S3","A",612,"High",12224,"SOV2","yes","V2",9.4111565114063
"S3","A",1311,"High",5381,"SOV1","yes","V1",8.59062950948942
"S3","A",422,"Low",6159,"V2","no","V2",8.72566970568704
"S3","A",2022,"Low",6761,"V2","no","V2",8.81892608709068
"S3","A",511,"High",3960,"SOV1","yes","V1",8.28399930424853
"S3","A",1812,"High",6479,"SOV2","yes","V2",8.77632145644996
"S3","A",822,"High",5350,"V2","no","V2",8.58485183989005
"S3","A",1921,"High",5049,"V1","no","V1",8.52694548285892
"S3","A",1711,"High",7590,"SOV1","yes","V1",8.93458687038968
"S3","A",911,"High",4811,"SOV1","yes","V1",8.47866024169945
"S3","A",212,"High",4095,"SOV2","yes","V2",8.31752199628717
"S3","A",721,"High",6670,"V1","no","V1",8.80537513890967
"S3","A",1521,"High",4650,"V1","no","V1",8.4446224985814
"S3","A",1012,"Low",4270,"SOV2","yes","V2",8.35936910622267
"S3","A",111,"High",3010,"SOV1","yes","V1",8.00969535774292
"S3","A",321,"Low",2239,"V1","no","V1",7.71378461659875
"S3","A",1622,"Low",4040,"V2","no","V2",8.3039999709552
"S4","A",1222,"Low",12587,"V2","no","V2",9.44041981429151
"S4","A",1521,"High",9353,"V1","no","V1",9.14345242643455
"S4","A",612,"Low",5683,"SOV2","yes","V2",8.64523454129712
"S4","A",1311,"High",7435,"SOV1","yes","V1",8.91395385889425
"S4","A",1012,"Low",5627,"SOV2","yes","V2",8.63533171943328
"S4","A",1121,"High",5413,"V1","no","V1",8.59655874679698
"S4","A",1711,"High",4436,"SOV1","yes","V1",8.39750834847026
"S4","A",1622,"Low",5101,"V2","no","V2",8.53719187792293
"S4","A",721,"High",6283,"V1","no","V1",8.74560285240295
"S4","A",822,"Low",5380,"V2","no","V2",8.59044365315583
"S4","A",2022,"Low",4798,"V2","no","V2",8.47595444339964
"S4","A",111,"Low",4988,"SOV1","yes","V1",8.51479030679993
"S4","A",1812,"Low",3064,"SOV2","yes","V2",8.02747653086048
"S4","A",1412,"Low",2317,"SOV2","yes","V2",7.74802852443238
"S4","A",1921,"High",2849,"V1","no","V1",7.95472333449791
"S4","A",212,"Low",8130,"SOV2","yes","V2",9.00331620254186
"S4","A",911,"High",6011,"SOV1","yes","V1",8.70134640303916
"S4","A",422,"Low",5453,"V2","no","V2",8.60392119492606
"S4","A",511,"High",3237,"SOV1","yes","V1",8.08240225392624
"S4","A",321,"Low",6217,"V1","no","V1",8.73504275426934
"S5","B",621,"Low",6256,"V1","no","V1",8.74129628222515
"S5","B",912,"High",10022,"SOV2","yes","V2",9.21253795551967
"S5","B",512,"High",5672,"SOV2","yes","V2",8.64329706821196
"S5","B",722,"Low",10200,"V2","no","V2",9.23014299927236
"S5","B",1312,"Low",9088,"SOV2","yes","V2",9.11471014096093
"S5","B",322,"High",6992,"V2","no","V2",8.85252191733537
"S5","B",2011,"High",5271,"SOV1","yes","V1",8.56997537685521
"S5","B",1712,"High",6128,"SOV2","yes","V2",8.72062371142043
"S5","B",1421,"Low",3456,"V1","no","V1",8.14786712992395
"S5","B",1021,"Low",2720,"V1","no","V1",7.90838715929004
"S5","B",112,"Low",8792,"SOV2","yes","V2",9.08159749608346
"S5","B",221,"Low",4249,"V1","no","V1",8.35443894011481
"S5","B",1922,"Low",3384,"V2","no","V2",8.12681372072611
"S5","B",1611,"Low",2279,"SOV1","yes","V1",7.73149202924568
"S5","B",811,"High",4219,"SOV1","yes","V1",8.34735341212434
"S5","B",1821,"Low",2768,"V1","no","V1",7.92588031673756
"S5","B",1122,"Low",5976,"V2","no","V2",8.69550672681265
"S5","B",1211,"Low",7535,"SOV1","yes","V1",8.9273141110606
"S5","B",1522,"High",3712,"V2","no","V2",8.21932609390609
"S6","B",1211,"Low",6972,"SOV1","yes","V1",8.84965740663991
"S6","B",411,"Low",15420,"SOV1","yes","V1",9.64342064711732
"S6","B",1312,"Low",15002,"SOV2","yes","V2",9.61593880452958
"S6","B",512,"Low",9913,"SOV2","yes","V2",9.2016023060329
"S6","B",1421,"Low",5202,"V1","no","V1",8.5567984460086
"S6","B",1821,"High",18229,"V1","no","V1",9.81076901153292
"S6","B",2011,"Low",10885,"SOV1","yes","V1",9.29514097366865
"S6","B",1611,"Low",4112,"SOV1","yes","V1",8.321664807135
"S6","B",722,"Low",5179,"V2","no","V2",8.55236726642389
"S6","B",1122,"Low",14205,"V2","no","V2",9.56134929428829
"S6","B",912,"High",10950,"SOV2","yes","V2",9.30109473524465
"S6","B",1522,"Low",12697,"V2","no","V2",9.44912102406979
"S6","B",1021,"Low",8810,"V1","no","V1",9.08364271893022
"S6","B",1712,"Low",11297,"SOV2","yes","V2",9.33229248272693
"S6","B",1922,"Low",8920,"V2","no","V2",9.09605122557405
"S6","B",112,"High",9305,"SOV2","yes","V2",9.13830716907635
"S6","B",221,"High",7448,"V1","no","V1",8.9157008189569
"S6","B",811,"High",7564,"SOV1","yes","V1",8.93115542977835
"S7","B",322,"Low",17171,"V2","no","V2",9.7509771933138
"S7","B",1021,"Low",17194,"V1","no","V1",9.75231576473439
"S7","B",1922,"Low",5279,"V2","no","V2",8.57149196482362
"S7","B",1522,"Low",17368,"V2","no","V2",9.76238471155813
"S7","B",912,"Low",6836,"SOV2","yes","V2",8.82995804423548
"S7","B",1821,"Low",6010,"V1","no","V1",8.70118002752925
"S7","B",1611,"Low",6150,"SOV1","yes","V1",8.72420736080056
"S7","B",811,"High",17094,"SOV1","yes","V1",9.74648280372596
"S7","B",722,"Low",12477,"V2","no","V2",9.43164222841102
"S7","B",621,"High",6613,"V1","no","V1",8.79679268767466
"S7","B",411,"Low",9880,"SOV1","yes","V1",9.19826779074191
"S7","B",1421,"Low",4301,"V1","no","V1",8.36660283278374
"S7","B",1211,"Low",4139,"SOV1","yes","V1",8.32820949174873
"S7","B",512,"High",4950,"SOV2","yes","V2",8.50714285556274
"S7","B",112,"High",15140,"SOV2","yes","V2",9.62509552699144
"S7","B",2011,"High",6353,"SOV1","yes","V1",8.75668242126653
"S7","B",221,"Low",6825,"V1","no","V1",8.82834762005316
"S7","B",1712,"Low",16718,"SOV2","yes","V2",9.7242412622591
"S7","B",1312,"High",8389,"SOV2","yes","V2",9.03467660284629
"S8","B",1211,"High",7618,"SOV1","yes","V1",8.93826914703855
"S8","B",112,"High",5569,"SOV2","yes","V2",8.62497078358967
"S8","B",1821,"Low",14614,"V1","no","V1",9.58973525235116
"S8","B",1922,"High",5213,"V2","no","V2",8.55891078476811
"S8","B",221,"High",6566,"V1","no","V1",8.78966009806154
"S8","B",1421,"Low",3479,"V1","no","V1",8.15450017515194
"S8","B",1522,"High",6116,"V2","no","V2",8.71866356704895
"S8","B",2011,"Low",6501,"SOV1","yes","V1",8.77971129020447
"S8","B",411,"Low",5213,"SOV1","yes","V1",8.55891078476811
"S8","B",1122,"Low",4843,"V2","no","V2",8.48528964240323
"S8","B",621,"Low",4373,"V1","no","V1",8.38320455141292
"S8","B",512,"Low",5575,"SOV2","yes","V2",8.62604759632832
"S8","B",722,"High",5117,"V2","no","V2",8.54032360880509
"S8","B",912,"High",5849,"SOV2","yes","V2",8.67402598544303
"S8","B",811,"High",5073,"SOV1","yes","V1",8.53168763756669
"S8","B",1712,"Low",6065,"SOV2","yes","V2",8.71028982137815
"S8","B",1611,"High",8740,"SOV1","yes","V1",9.07566546864958
"S8","B",322,"High",6862,"V2","no","V2",8.8337542234184
"S8","B",1021,"Low",3153,"V1","no","V1",8.05610965954506
"S8","B",1312,"High",4218,"SOV2","yes","V2",8.34711636103872
"S9","B",221,"Low",15446,"V1","no","V1",9.64510534912921
"S9","B",722,"High",14759,"V2","no","V2",9.59960834518178
"S9","B",1421,"Low",5489,"V1","no","V1",8.61050136854989
"S9","B",1712,"Low",5490,"SOV2","yes","V2",8.61068353450358
"S9","B",621,"High",6875,"V1","no","V1",8.83564692253477
"S9","B",912,"High",10737,"SOV2","yes","V2",9.28145099943413
"S9","B",512,"High",2196,"SOV2","yes","V2",7.69439280262942
"S9","B",2011,"High",4616,"SOV1","yes","V1",8.43728380818794
"S9","B",1522,"High",7044,"V2","no","V2",8.8599314696161
"S9","B",1922,"Low",7790,"V2","no","V2",8.96059613886479
"S9","B",1211,"High",3246,"SOV1","yes","V1",8.08517874807454
"S9","B",1122,"Low",9224,"V2","no","V2",9.12956406194889
"S9","B",322,"Low",8233,"V2","no","V2",9.01590574729843
"S9","B",1611,"High",2476,"SOV1","yes","V1",7.81439963380449
"S9","B",1021,"Low",2073,"V1","no","V1",7.63675211243578
"S9","B",1312,"High",12840,"SOV2","yes","V2",9.46032057724395
"S9","B",1821,"High",12750,"V1","no","V1",9.45328655058657
"S9","B",811,"High",2409,"SOV1","yes","V1",7.78696700261487
"S9","B",411,"High",2824,"SOV1","yes","V1",7.94590959861313
"S9","B",112,"High",2983,"SOV2","yes","V2",8.00068478451475
"S10","B",621,"Low",10051,"V1","no","V1",9.21542741102474
"S10","B",221,"Low",7070,"V1","no","V1",8.86361575889062
"S10","B",2011,"High",8286,"SOV1","yes","V1",9.02232262263735
"S10","B",411,"High",7713,"SOV1","yes","V1",8.950662495934
"S10","B",912,"High",5810,"SOV2","yes","V2",8.66733584984596
"S10","B",112,"High",5054,"SOV2","yes","V2",8.52793528794814
"S10","B",1611,"Low",6676,"SOV1","yes","V1",8.80627428478173
"S10","B",1821,"High",7530,"V1","no","V1",8.92665032079394
"S10","B",512,"High",5775,"SOV2","yes","V2",8.66129353538999
"S10","B",1021,"Low",3833,"V1","no","V1",8.25140306538056
"S10","B",1712,"High",4600,"SOV2","yes","V2",8.43381158247719
"S10","B",811,"High",4489,"SOV1","yes","V1",8.40938523878193
"S10","B",1421,"Low",4083,"V1","no","V1",8.31458729131958
"S10","B",1312,"High",6733,"SOV2","yes","V2",8.81477608854528
"S10","B",1522,"Low",7682,"V2","no","V2",8.94663520890585
"S10","B",722,"Low",5883,"V2","no","V2",8.67982211486446
"S10","B",1922,"Low",10878,"V2","no","V2",9.29449767998291
"S11","C",311,"High",6512,"SOV1","yes","V1",8.78140190768238
"S11","C",1111,"High",6391,"SOV1","yes","V1",8.76264602965028
"S11","C",812,"High",3679,"SOV2","yes","V2",8.21039625510477
"S11","C",412,"High",7256,"SOV2","yes","V2",8.88958399179497
"S11","C",1911,"High",7888,"SOV1","yes","V1",8.97309789628247
