"Idade","Participante","Sexo","Resp_diva","faixa_etaria"
"20","P8","Feminino","Yes","faixa_20-35"
"21","P5","Feminino","Yes","faixa_20-35"
"21","P22","Feminino","Yes","faixa_20-35"
"21","P35","Masculino","No","faixa_20-35"
"22","P20","Feminino","Yes","faixa_20-35"
"22","P26","Feminino","Yes","faixa_20-35"
"22","P33","Masculino","No","faixa_20-35"
"23","P7","Feminino","Yes","faixa_20-35"
"23","P59","Masculino","Yes","faixa_20-35"
"24","P47","Masculino","No","faixa_20-35"
"25","P3","Feminino","Yes","faixa_20-35"
"25","P10","Feminino","No","faixa_20-35"
"25","P37","Masculino","No","faixa_20-35"
"26","P16","Feminino","Yes","faixa_20-35"
"26","P51","Masculino","Yes","faixa_20-35"
"27","P32","Masculino","No","faixa_20-35"
"27","P41","Masculino","No","faixa_20-35"
"27","P42","Masculino","No","faixa_20-35"
"28","P27","Feminino","Yes","faixa_20-35"
"28","P34","Masculino","No","faixa_20-35"
"28","P49","Masculino","Yes","faixa_20-35"
"29","P55","Masculino","No","faixa_20-35"
"31","P57","Masculino","No","faixa_20-35"
"32","P17","Feminino","No","faixa_20-35"
"33","P2","Feminino","Yes","faixa_20-35"
"33","P39","Masculino","Yes","faixa_20-35"
"33","P50","Masculino","Yes","faixa_20-35"
"34","P30","Feminino","No","faixa_20-35"
"35","P29","Feminino","Yes","faixa_20-35"
"36","P9","Feminino","Yes","faixa_36-45"
"37","P58","Masculino","No","faixa_36-45"
"38","P18","Feminino","Yes","faixa_36-45"
"40","P13","Feminino","No","faixa_36-45"
"40","P21","Feminino","Yes","faixa_36-45"
"40","P40","Masculino","Yes","faixa_36-45"
"40","P48","Masculino","Yes","faixa_36-45"
"41","P19","Feminino","No","faixa_36-45"
"41","P60","Masculino","Yes","faixa_36-45"
"42","P44","Masculino","Yes","faixa_36-45"
"43","P4","Feminino","Yes","faixa_36-45"
"43","P12","Feminino","Yes","faixa_36-45"
"43","P14","Feminino","Yes","faixa_36-45"
"43","P46","Masculino","Yes","faixa_36-45"
"44","P15","Feminino","Yes","faixa_36-45"
"44","P56","Masculino","Yes","faixa_36-45"
"47","P38","Masculino","No","faixa_46-55"
"47","P54","Masculino","No","faixa_46-55"
"48","P43","Masculino","Yes","faixa_46-55"
"50","P36","Masculino","No","faixa_46-55"
"50","P45","Masculino","No","faixa_46-55"
"51","P53","Masculino","No","faixa_46-55"
"52","P24","Feminino","Yes","faixa_46-55"
"53","P28","Feminino","Yes","faixa_46-55"
"53","P31","Masculino","No","faixa_46-55"
"53","P52","Masculino","No","faixa_46-55"
"54","P1","Feminino","Yes","faixa_46-55"
"54","P11","Feminino","Yes","faixa_46-55"
"55","P6","Feminino","Yes","faixa_46-55"
"55","P23","Feminino","No","faixa_46-55"
"55","P25","Feminino","Yes","faixa_46-55"
