"Nome","Sexo","n_silabas","tipo"
"Helena","Feminino","3","simples"
"Alice","Feminino","3","simples"
"Laura","Feminino","2","simples"
"Manuela","Feminino","4","simples"
"Valentina","Feminino","4","simples"
"Sophia","Feminino","3","simples"
"Isabella","Feminino","4","simples"
"Heloísa","Feminino","4","simples"
"Luiza","Feminino","3","simples"
"Júlia","Feminino","2","simples"
"Lorena","Feminino","3","simples"
"Lívia","Feminino","2","simples"
"Maria Luiza","Feminino","6","composto"
"Cecília","Feminino","3","simples"
"Eloá","Feminino","3","simples"
"Giovanna","Feminino","4","simples"
"Maria Clara","Feminino","5","composto"
"Maria Eduarda","Feminino","7","composto"
"Mariana","Feminino","4","simples"
"Lara","Feminino","2","simples"
"Beatriz","Feminino","3","simples"
"Antonella","Feminino","4","simples"
"Maria Júlia","Feminino","5","composto"
"Emanuelly","Feminino","5","simples"
"Isadora","Feminino","4","simples"
"Ana Clara","Feminino","4","simples"
"Melissa","Feminino","3","simples"
"Ana Luiza","Feminino","5","composto"
"Ana Júlia","Feminino","4","composto"
"Esther","Feminino","2","simples"
"Lavínia","Feminino","3","simples"
"Maitê","Feminino","3","simples"
"Maria Cecília","Feminino","6","composto"
"Maria Alice","Feminino","6","composto"
"Sarah","Feminino","2","simples"
"Elisa","Feminino","3","simples"
"Liz","Feminino","1","simples"
"Yasmin","Feminino","3","simples"
"Isabelly","Feminino","4","simples"
"Alícia","Feminino","3","simples"
"Clara","Feminino","2","simples"
"Isis","Feminino","2","simples"
"Rebeca","Feminino","3","simples"
"Rafaela","Feminino","4","simples"
"Marina","Feminino","3","simples"
"Ana Laura","Feminino","4","simples"
"Maria Helena","Feminino","6","composto"
"Agatha","Feminino","3","simples"
"Gabriela","Feminino","4","simples"
"Catarina","Feminino","4","simples"
"Miguel","Masculino","2","simples"
"Arthur","Masculino","2","simples"
"Heitor","Masculino","2","simples"
"Bernardo","Masculino","3","simples"
"Davi","Masculino","2","simples"
"Théo","Masculino","1","simples"
"Lorenzo","Masculino","3","simples"
"Gabriel","Masculino","3","simples"
"Pedro","Masculino","2","simples"
"Benjamin","Masculino","3","simples"
"Matheus","Masculino","2","simples"
"Lucas","Masculino","2","simples"
"Nicolas","Masculino","3","simples"
"Joaquim","Masculino","3","simples"
"Samuel","Masculino","3","simples"
"Henrique","Masculino","3","simples"
"Rafael","Masculino","3","simples"
"Guilherme","Masculino","3","simples"
"Enzo","Masculino","2","simples"
"Murilo","Masculino","2","simples"
"Benício","Masculino","3","simples"
"Gustavo","Masculino","3","simples"
"Isaac","Masculino","3","simples"
"João Miguel","Masculino","4","composto"
"Lucca","Masculino","2","simples"
"Enzo Gabriel","Masculino","5","composto"
"Pedro Henrique","Masculino","5","composto"
"Felipe","Masculino","3","simples"
"João Pedro","Masculino","4","composto"
"Pietro","Masculino","3","simples"
"Anthony","Masculino","3","simples"
"Daniel","Masculino","3","simples"
"Bryan","Masculino","2","simples"
"Davi Lucca","Masculino","4","composto"
"Leonardo","Masculino","4","simples"
"Vicente","Masculino","3","simples"
"Eduardo","Masculino","4","simples"
"Gael","Masculino","2","simples"
"Antônio","Masculino","3","simples"
"Vitor","Masculino","2","simples"
"Noah","Masculino","2","simples"
"Caio","Masculino","2","simples"
"João","Masculino","2","simples"
"Emanuel","Masculino","4","simples"
"Cauã","Masculino","2","simples"
"João Lucas","Masculino","4","composto"
"Calebe","Masculino","3","simples"
"Enrico","Masculino","3","simples"
"Vinícius","Masculino","4","simples"
"Bento","Masculino","2","simples"
