"Teste","Participante","L1","Cond","Item_RE","Resposta","TR_ms"
"T2","P01_ESP","Espanhol","B_V","A BICA         ","  C","2860"
"T2","P01_ESP","Espanhol","B_V","VELA           ","  Err","5180"
"T2","P01_ESP","Espanhol","B_V","BENTO          ","  C","4290"
"T2","P01_ESP","Espanhol","B_V","EU BOTO        ","  Err","6820"
"T2","P01_ESP","Espanhol","B_V","BALA           ","  C","15260"
"T2","P02_ESP","Espanhol","B_V","A BICA         ","  C","4340"
"T2","P02_ESP","Espanhol","B_V","VELA           ","  Err","5590"
"T2","P02_ESP","Espanhol","B_V","VENTO          ","  Err","3290"
"T2","P02_ESP","Espanhol","B_V","EU BOTO        ","  Err","4730"
"T2","P02_ESP","Espanhol","B_V","BALA           ","  C","3760"
"T2","P05_ESP","Espanhol","B_V","A BICA         ","  C","2480"
"T2","P05_ESP","Espanhol","B_V","VELA           ","  Err","2150"
"T2","P05_ESP","Espanhol","B_V","BENTO          ","  C","2030"
"T2","P05_ESP","Espanhol","B_V","EU VOTO        ","  C","2060"
"T2","P05_ESP","Espanhol","B_V","BALA           ","  C","2860"
"T2","P07_ESP","Espanhol","B_V","A BICA         ","  C","12540"
"T2","P07_ESP","Espanhol","B_V","BELA           ","  C","1800"
"T2","P07_ESP","Espanhol","B_V","BENTO          ","  C","1840"
"T2","P07_ESP","Espanhol","B_V","EU BOTO        ","  Err","1660"
"T2","P07_ESP","Espanhol","B_V","BALA           ","  C","1890"
"T2","P09_ESP","Espanhol","B_V","A BICA         ","  C","8950"
"T2","P09_ESP","Espanhol","B_V","BELA           ","  C","3230"
"T2","P09_ESP","Espanhol","B_V","BENTO          ","  C","3470"
"T2","P09_ESP","Espanhol","B_V","EU BOTO        ","  Err","3750"
"T2","P09_ESP","Espanhol","B_V","BALA           ","  C","2830"
"T2","P10_ESP","Espanhol","B_V","A BICA         ","  C","3620"
"T2","P10_ESP","Espanhol","B_V","BELA           ","  C","2120"
"T2","P10_ESP","Espanhol","B_V","BENTO          ","  C","1640"
"T2","P10_ESP","Espanhol","B_V","EU BOTO        ","  Err","2460"
"T2","P10_ESP","Espanhol","B_V","BALA           ","  C","2110"
"T2","P12_ESP","Espanhol","B_V","A BICA         ","  C","4680"
"T2","P12_ESP","Espanhol","B_V","BELA           ","  C","3060"
"T2","P12_ESP","Espanhol","B_V","BENTO          ","  C","2990"
"T2","P12_ESP","Espanhol","B_V","EU VOTO        ","  C","3300"
"T2","P12_ESP","Espanhol","B_V","BALA           ","  C","3310"
"T2","P13_ESP","Espanhol","B_V","A BICA         ","  C","2980"
"T2","P13_ESP","Espanhol","B_V","BELA           ","  C","2380"
"T2","P13_ESP","Espanhol","B_V","BENTO          ","  C","2970"
"T2","P13_ESP","Espanhol","B_V","EU BOTO        ","  Err","1600"
"T2","P13_ESP","Espanhol","B_V","BALA           ","  C","1470"
"T1","P01_ESP","Espanhol","B_V","A ABELHA       ","  C","5330"
"T1","P01_ESP","Espanhol","B_V","ABELHA         ","  Err","4190"
"T1","P01_ESP","Espanhol","B_V","A VELA         ","  Err","3850"
"T1","P01_ESP","Espanhol","B_V","VENTO          ","  C","3970"
"T1","P01_ESP","Espanhol","B_V","VEM            ","  C","8640"
"T1","P02_ESP","Espanhol","B_V","A VELHA        ","  Err","3340"
"T1","P02_ESP","Espanhol","B_V","ABELHA         ","  Err","4840"
"T1","P02_ESP","Espanhol","B_V","A VELA         ","  Err","6200"
"T1","P02_ESP","Espanhol","B_V","VENTO          ","  C","3510"
"T1","P02_ESP","Espanhol","B_V","VEM            ","  C","4340"
"T1","P05_ESP","Espanhol","B_V","A ABELHA       ","  C","6530"
"T1","P05_ESP","Espanhol","B_V","ABELHA         ","  Err","4550"
"T1","P05_ESP","Espanhol","B_V","A VELA         ","  Err","5560"
"T1","P05_ESP","Espanhol","B_V","VENTO          ","  C","3160"
"T1","P05_ESP","Espanhol","B_V","VEM            ","  C","6880"
"T1","P07_ESP","Espanhol","B_V","A ABELHA       ","  C","3160"
"T1","P07_ESP","Espanhol","B_V","A VELHA        ","  C","3400"
"T1","P07_ESP","Espanhol","B_V","A VELA         ","  Err","7380"
"T1","P07_ESP","Espanhol","B_V","VENTO          ","  C","2300"
"T1","P07_ESP","Espanhol","B_V","VEM            ","  C","3730"
"T1","P09_ESP","Espanhol","B_V","A ABELHA       ","  C","6560"
"T1","P09_ESP","Espanhol","B_V","A VELHA        ","  C","4190"
"T1","P09_ESP","Espanhol","B_V","A VELA         ","  Err","2730"
"T1","P09_ESP","Espanhol","B_V","VENTO          ","  C","3280"
"T1","P09_ESP","Espanhol","B_V","VEM            ","  C","3910"
"T1","P10_ESP","Espanhol","B_V","A ABELHA       ","  C","4290"
"T1","P10_ESP","Espanhol","B_V","A VELHA        ","  C","4650"
"T1","P10_ESP","Espanhol","B_V","A VELA         ","  Err","5540"
"T1","P10_ESP","Espanhol","B_V","VENTO          ","  C","3790"
"T1","P10_ESP","Espanhol","B_V","VEM            ","  C","3780"
"T1","P12_ESP","Espanhol","B_V","A VELHA        ","  Err","10090"
"T1","P12_ESP","Espanhol","B_V","ABELHA         ","  Err","3960"
"T1","P12_ESP","Espanhol","B_V","A VELA         ","  Err","21250"
