"Teste","Participante","L1","Cond","Item","Item_RE","Resposta","TR","TR_ms"
"T3","P01_ESP","Espanhol","VNasal","maes","MÃES           ","  C","2.78","2780"
"T3","P01_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.80","2800"
"T3","P01_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.94","2940"
"T3","P01_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.65","1650"
"T3","P01_ESP","Espanhol","VNasal","canto","CANTO          ","  C","3.84","3840"
"T3","P02_ESP","Espanhol","VNasal","maes","MÃES           ","  C","2.31","2310"
"T3","P02_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","3.88","3880"
"T3","P02_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.34","2340"
"T3","P02_ESP","Espanhol","VNasal","bento","BENTO          ","  C","3.69","3690"
"T3","P02_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.95","2950"
"T3","P05_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.02","2020"
"T3","P05_ESP","Espanhol","VNasal","paes","PÃES           ","  C","1.56","3560"
"T3","P05_ESP","Espanhol","VNasal","bento","BENTO          ","  C","2.93","2930"
"T3","P05_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.06","1060"
"T3","P07_ESP","Espanhol","VNasal","maes","MÃES           ","  C","2.86","2860"
"T3","P07_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.49","2490"
"T3","P07_ESP","Espanhol","VNasal","paes","PÃES           ","  C","1.14","1140"
"T3","P07_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.86","1860"
"T3","P07_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.11","3110"
"T3","P09_ESP","Espanhol","VNasal","maes","MÃES           ","  C","2.70","2700"
"T3","P09_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.99","2990"
"T3","P09_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.86","2860"
"T3","P09_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.27","1270"
"T3","P09_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.25","1250"
"T3","P10_ESP","Espanhol","VNasal","maes","MÃES           ","  C","3.80","3800"
"T3","P10_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.30","2300"
"T3","P10_ESP","Espanhol","VNasal","paes","PÃES           ","  C","3.31","3310"
"T3","P10_ESP","Espanhol","VNasal","bento","BENTO          ","  C","3.24","3240"
"T3","P10_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.68","2680"
"T3","P12_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","1.68","1680"
"T3","P12_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.59","2590"
"T3","P12_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.13","3130"
"T3","P12_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.16","3160"
"T3","P13_ESP","Espanhol","VNasal","maes","MÃES           ","  C","3.95","3950"
"T3","P13_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.85","2850"
"T3","P13_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.60","2600"
"T3","P13_ESP","Espanhol","VNasal","bento","BENTO          ","  C","2.16","2160"
"T3","P13_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.85","1850"
"T4","P01_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.40","2400"
"T4","P01_ESP","Espanhol","VNasal","bento","BENTO          ","  C","2.40","2400"
"T4","P01_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.02","2020"
"T4","P01_ESP","Espanhol","VNasal","paes","PÃES           ","  C","1.51","1510"
"T4","P01_ESP","Espanhol","VNasal","maes","MÃES           ","  C","1.58","1580"
"T4","P02_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.69","2690"
"T4","P02_ESP","Espanhol","VNasal","bento","BENTO          ","  C","4.75","4750"
"T4","P02_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.52","2520"
"T4","P02_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.17","2170"
"T4","P02_ESP","Espanhol","VNasal","maes","MÃES           ","  C","3.31","3310"
"T4","P05_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","1.15","3150"
"T4","P05_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.53","1530"
"T4","P05_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.36","2360"
"T4","P05_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.61","2610"
"T4","P05_ESP","Espanhol","VNasal","maes","MÃES           ","  C","2.16","2160"
"T4","P07_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","1.13","4130"
"T4","P07_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.37","3370"
"T4","P07_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.32","2320"
"T4","P07_ESP","Espanhol","VNasal","paes","PÃES           ","  C","1.17","1170"
"T4","P07_ESP","Espanhol","VNasal","maes","MÃES           ","  C","1.64","3640"
"T4","P09_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","1.68","1680"
"T4","P09_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.70","3700"
"T4","P09_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.48","4480"
"T4","P09_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.55","2550"
"T4","P09_ESP","Espanhol","VNasal","maes","MÃES           ","  C","1.22","4220"
"T4","P10_ESP","Espanhol","VNasal","bento","BENTO          ","  C","2.05","2050"
"T4","P10_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.51","1510"
"T4","P10_ESP","Espanhol","VNasal","paes","PÃES           ","  C","2.61","2610"
"T4","P10_ESP","Espanhol","VNasal","maes","MÃES           ","  C","1.46","1460"
"T4","P12_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.60","2600"
"T4","P12_ESP","Espanhol","VNasal","bento","BENTO          ","  C","2.15","2150"
"T4","P12_ESP","Espanhol","VNasal","canto","CANTO          ","  C","1.25","1250"
"T4","P12_ESP","Espanhol","VNasal","paes","PÃES           ","  C","1.12","3120"
"T4","P13_ESP","Espanhol","VNasal","tronco","TRONCO         ","  C","2.70","2700"
"T4","P13_ESP","Espanhol","VNasal","bento","BENTO          ","  C","1.37","3370"
"T4","P13_ESP","Espanhol","VNasal","canto","CANTO          ","  C","2.97","2970"
